,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse
778,"55.69054,12.57564",1342.0,99,Isola di Lampedusa, 2100 ,False,False,False,False,False,True,False,False,False
779,"55.703632,12.532738",1335.0,2,Miklagaard Pizza and Pasta, 2400 ,False,False,False,False,False,True,False,False,False
780,"55.677746,12.597667",1325.0,99,The Corner, 1401 ,False,False,False,False,False,False,False,False,False
781,"55.67734,12.57571",1321.0,1,Cafe Grabz, 1208 ,False,False,False,False,False,False,False,False,False
782,"55.67502,12.580593",1319.0,2,Thai Kacha, ,False,False,False,True,False,False,False,False,False
783,"55.66518,12.59945",1318.0,99,Nikko Sushi, ,False,True,False,False,False,False,False,False,False
784,"55.67573,12.56239",1316.0,99,Gasoline Grill, 1612 ,False,False,False,False,False,False,False,False,False
785,"55.68592,12.55232",1308.0,99,Dupong, 2200 ,False,False,False,False,False,False,False,False,False
786,"55.66529,12.59925",1302.0,1,Massimo - Italiensk Pizzeria, ,True,False,False,False,False,True,False,False,False
787,"55.68555,12.5526",1297.0,1,Thai me up, 2200 ,False,False,False,False,False,False,False,False,False
788,"55.68042,12.56121",1294.0,2,Restaurant G, 1600 ,False,False,False,False,False,False,False,False,False
789,"55.672,12.59123",1291.0,99,Tino's Pizza, ,False,False,False,False,False,False,False,False,False
790,"55.67202,12.561912",1290.0,2,Café du Nord, 1650 ,False,False,False,False,False,False,False,False,False
791,"55.67047,12.55714",1286.0,99,Kaffebaren, 1650 ,False,False,False,False,False,False,False,False,False
792,"55.69179,12.55797",1285.0,99,The Mudhoney, ,False,False,False,False,False,False,False,False,False
793,"55.679115,12.579892",1280.0,2,Brasserie Jacobsen ILLUM ROOFTOP, 1100 ,False,False,False,False,False,False,False,False,False
794,"55.68383,12.587318",1279.0,99,Nozomi, 1264 ,False,True,False,False,False,False,False,False,False
795,"55.689827,12.558352",1268.0,99,Sund Sult, 2200 ,False,False,False,False,False,False,False,False,False
796,"55.686,12.55774",1263.0,1,Floras kaffebar, ,False,False,False,False,False,False,False,False,False
797,"55.681602,12.583653",1260.0,99,Top Brewer, ,False,False,False,False,True,False,False,False,False
798,"55.64975,12.61255",1259.0,1,Jasmin Rice, 2300 ,False,False,False,False,False,False,False,False,False
799,"55.68182,12.583315",1249.0,1,dællekatessen, 1107 ,False,False,False,False,False,False,False,False,False
800,"55.679955,12.587967",1247.0,2,Charlottenborg Cafe, ,False,False,False,False,True,False,False,False,False
801,"55.67889,12.57003",1244.0,2,Jailhouse Restaurant, 1455 ,False,False,False,False,False,False,False,False,False
802,"55.691563,12.587506",1241.0,1,Cafe Oslo Plads, 2100 ,False,False,False,False,False,False,False,False,False
803,"55.70963,12.57807",1237.0,1,1 DUANG JAI - Thai Restaurant, 2100 ,False,False,False,True,False,False,False,False,False
804,"55.690834,12.559839",1236.0,2,Mæxico, 2200 ,False,False,False,False,False,False,False,True,False
805,"55.64691,12.549851",1224.0,2,Sukuri Sushi, 2450 ,False,True,False,False,False,False,False,False,False
806,"55.67352,12.56866",1216.0,2,Mamma Mokka extra, 1620 ,False,False,False,False,True,False,False,False,False
