,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
581,Filini Restaurant,4.0,601.0,"------16,",--$$-$$$---------,126,"55.66756,12.586647",1389.0,4.0,Europæisk,"Amager Boulevard 70 Radisson Blu Scandinavia Hotel, København 2300 Danmark",4.0,4.0,,$$-$$$,2,-601.0,858
610,Ristorante L'Imperatore,4.0,600.0,------1667.-2.682.,--$$-$$$---,123,"55.70129,12.577381",2408.0,4.0,Italiensk,"Olufsvej 2, København 2100 Danmark",3.5,3.5,,$$-$$$,2,-600.0,859
589,Sticks'n'Sushi,4.0,599.0,------16248.-550.,--$$-$$$---------,67,"55.690487,12.575575",1287.0,4.0,Asiatisk,"Øster Farimagsgade 16, København 2100 Danmark",4.0,4.5,3.5,$$-$$$,2,-599.0,860
570,City Pub,4.0,598.0,"------16,",--$$-$$$,40,"55.673256,12.559672",1709.0,4.5,Bar,"Vesterbrogade 19, København 1620 Danmark",4.0,,,$$-$$$,2,-598.0,861
596,Sukiyaki,4.0,597.0,"------16,,",--$$-$$$---------,98,"55.67326,12.56086",1642.0,3.5,Asiatisk,"Vesterbrogade 13, 1st floor, København Danmark",3.5,4.0,3.5,$$-$$$,2,-597.0,862
587,R Vinbar,4.0,595.0,"------16,",--$$-$$$---,60,"55.68192,12.58017",332.0,4.0,International,"Gammel Moent 14, København 1117 Danmark",3.5,4.0,4.5,$$-$$$,2,-595.0,863
595,Boathouse,4.0,594.0,------16,--$$-$$$------,85,"55.67758,12.595144",737.0,4.0,Amerikansk,"Strandgade 85A, København 1401 Danmark",3.5,4.0,,$$-$$$,2,-594.0,864
574,Restaurant NOI,4.0,589.0,"------16,,",--$$$$---,56,"55.67216,12.573253",1107.0,4.5,Dansk,"Niels Brocks Gade 1, København 1574 Danmark",4.0,4.0,,$$$$,3,-589.0,865
577,The Dubliner Downtown,4.0,587.0,"------16,,,",--$$-$$$------,95,"55.681328,12.58271",177.0,4.0,Bar,"Ny oestergade 14, København 1101 Danmark",3.5,3.5,,$$-$$$,2,-587.0,866
583,Sans Souci Restaurant & Vinstue,4.0,585.0,"------16,,,",--$$-$$$---,111,"55.67627,12.541616",2701.0,4.0,Dansk,"Madvigs Alle 15, København 1829 Danmark",3.5,4.0,4.0,$$-$$$,2,-585.0,867
584,SUKAIBA Copenhagen,4.0,583.0,------1660.-892.,--$$$$---------,98,"55.639553,12.57794",4512.0,4.0,Asiatisk,"Center Boulevard 5, København 2300 Danmark",3.5,4.0,,$$$$,3,-583.0,868
572,Hvide Lam,4.0,582.0,"------16,,,",--$$-$$$,69,"55.6824,12.574194",682.0,4.0,Bar,"Kultorvet 5, København 1175 Danmark",3.5,3.5,5.0,$$-$$$,2,-582.0,869
580,Pho Saigon,4.0,579.0,"------16,",--$---------,66,"55.67218,12.548231",2416.0,4.0,Asiatisk,"Vesterbrogade 83, København Danmark",4.0,4.0,3.5,$,1,-579.0,870
571,Bistro Les Halles,4.0,578.0,------16127.-268.,--$$-$$$---,41,"55.684723,12.569781",1046.0,4.5,Fransk,"Roemersgade 20, København 1362 Danmark",4.5,4.5,,$$-$$$,2,-578.0,871
593,Mesón España,4.0,577.0,"------16,,",--$$-$$$---------,118,"55.671864,12.557831",1883.0,4.0,Europæisk,"Viktoriagade 10, København 1655 Danmark",4.0,4.0,3.5,$$-$$$,2,-577.0,872
590,Sole D'Italia,4.0,573.0,------16101.-134.,--$$-$$$---------,315,"55.679993,12.576306",494.0,4.0,Italiensk,"Gråbrødretorv 1 Graabroedretorv, København 1154 Danmark",4.0,4.0,,$$-$$$,2,-573.0,873
540,Restaurant Turesen,4.0,571.0,------16,--$$-$$$,49,"55.681393,12.564039",1273.0,4.5,Dansk,"Turesensgade 6, København 1368 Danmark",4.0,4.0,4.5,$$-$$$,2,-571.0,874
567,Cafe Pelikan,4.0,570.0,"------16,,",--$$-$$$------,49,"55.66062,12.604572",2503.0,4.5,Café,"Amagerbrogade 84, København 2300 Danmark",4.0,4.5,3.5,$$-$$$,2,-570.0,875
548,Papa Ramen,4.0,567.0,"------16,,",--$$-$$$---------,91,"55.676846,12.564869",1260.0,4.0,Asiatisk,"Skydebanegade 16, København 1709 Danmark",3.5,4.0,,$$-$$$,2,-567.0,876
561,Dalle Valle,4.0,566.0,"------16,,",--$------,63,"55.676247,12.565972",1215.0,4.0,Amerikansk,"Axeltorv 4, København 1609 Danmark",4.5,4.0,,$,1,-566.0,877
565,NOSE2TAIL - Meatpacker,4.0,565.0,------161.341.-3.353.,--$$-$$$---,79,"55.66866,12.559474",1996.0,4.0,Europæisk,"Flæsketorvet 13A, København 1711 Danmark",3.5,4.0,,$$-$$$,2,-565.0,878
553,Bevar's,4.0,564.0,------1627.-114.,--$$-$$$---,45,"55.68847,12.561816",1691.0,4.0,Café,"Ravnsborggade 10B, København 2200 Danmark",4.0,4.0,5.0,$$-$$$,2,-564.0,879
542,Neighbourhood Frederiksborggade,4.0,561.0,------16141.-148.,--$$-$$$---------,66,"55.68383,12.571233",918.0,4.0,Europæisk,"Frederiksborggade 20D, København 1360 Danmark",4.0,4.5,,$$-$$$,2,-561.0,880
569,Gambero Rosso,4.0,559.0,"------16,,,",--$$-$$$---------,80,"55.653812,12.611079",3363.0,4.0,Italiensk,"Amagerbrogade 168 Copenhagen Denmark, København 2300 Danmark",4.0,4.0,4.0,$$-$$$,2,-559.0,881
558,Café Nemoland,4.0,554.0,------1687.-168.,--$---,88,"55.67298,12.600214",1271.0,3.5,Café,"Fabriksomraadet 52, København 1440 Danmark",4.0,4.0,4.5,$,1,-554.0,882
551,Restaurant MANGAL,4.0,551.0,------1680.-597.,--$$$$---------,69,"55.667217,12.558681",2138.0,4.0,Mellemøstlig,"Flæsketorvet 50, København 1711 Danmark",4.0,4.0,,$$$$,3,-551.0,883
582,Sushi Norregade,4.0,550.0,"------16,,",--$$-$$$---------,120,"55.68191,12.571117",847.0,4.0,Asiatisk,"Nørregade 34, København Danmark",4.0,4.5,3.5,$$-$$$,2,-550.0,884
543,Seoul,4.0,547.0,"------16,,",--$---------,51,"55.692165,12.483192",6474.0,4.5,Asiatisk,"Skjulhøj Allé 8 A, København Danmark",4.5,4.5,,$,1,-547.0,885
564,Jacobsen Brewhouse & Bar,4.0,546.0,------1674.-127.,--$$-$$$---,45,"55.66489,12.529844",3798.0,5.0,Bar,"Gamle Carlsberg Vej 11, København 1799 Danmark",4.0,4.5,,$$-$$$,2,-546.0,886
559,Spaghetteria,4.0,544.0,"------16,,",--$$-$$$---------,64,"55.674793,12.562389",1483.0,4.5,Europæisk,"Vester Farimagsgade 2, København 1606 Danmark",4.0,4.0,,$$-$$$,2,-544.0,887
518,Kates Joint,4.0,539.0,------1674.-148.,--$---------,78,"55.68699,12.558856",1769.0,4.0,Asiatisk,"Blagardsgade 12, København 2200 N Danmark",4.5,4.5,4.0,$,1,-539.0,888
538,Forno a Legna,4.0,538.0,------1634.-67.,--$------,191,"55.68242,12.535516",3063.0,3.5,Italiensk,"Falkoner Alle 42, København 2000 Danmark",4.5,4.5,3.5,$,1,-538.0,889
535,Akropolis,4.0,537.0,"------16,,",--$$-$$$---------,38,"55.684307,12.551451",2108.0,4.5,Europæisk,"H.C. Ørstedvej 70, København 1879 Danmark",4.0,4.5,4.0,$$-$$$,2,-537.0,890
529,Itzi Pitzi Pizza,4.0,534.0,------1634.-67.,--$---------,79,"55.666546,12.553152",2453.0,4.0,Europæisk,"Sønder boulevard 51, København 1720 Danmark",4.5,4.5,4.0,$,1,-534.0,891
532,Il Buco,4.0,533.0,------1674.-422.,--$$-$$$---------,93,"55.66635,12.580439",1533.0,4.0,Europæisk,"Njalsgade 19c, København 2300 Danmark",3.5,4.0,,$$-$$$,2,-533.0,892
519,Nyhavn Pizzeria,4.0,532.0,"------16,,,",--$---------,95,"55.6806,12.589514",341.0,4.5,Europæisk,"Lille Strandstræde 8, København 1254 Danmark",4.5,4.5,4.0,$,1,-532.0,893
525,DAIZY'S,4.0,531.0,------1647.-248.,--$$-$$$---------,68,"55.68135,12.591488",482.0,4.0,Café,"Sankt Annæ Plads 16, København 1250 Danmark",4.0,4.0,,$$-$$$,2,-531.0,894
516,Roxie,4.0,528.0,------16248.-697.,--$$$$---,48,"55.678925,12.582686",150.0,4.0,Dansk,"Bremerholm 6, København 1069 Danmark",3.5,4.0,,$$$$,3,-528.0,895
530,Kung Fu 2 Izakaya,4.0,521.0,"------16,,,",--$$-$$$---------,103,"55.688976,12.562633",1681.0,4.0,Asiatisk,"Ravnsborggade 16B, København 2200 Danmark",4.0,4.0,3.5,$$-$$$,2,-521.0,896
531,Madhus24,4.0,513.0,------1667.-228.,--$$-$$$---,54,"55.73043,12.521971",6831.0,4.0,Dansk,"Søborg Hovedgade 24, København 2870 Danmark",4.0,4.0,,$$-$$$,2,-513.0,897
526,Tango y Vinos,4.0,511.0,------1687.-449.,--$$-$$$------,126,"55.679058,12.589667",358.0,4.0,Fusion,"Herluf Trolles Gade 9 next to Nyhavn, København 1052 Danmark",4.0,4.0,4.5,$$-$$$,2,-511.0,898
488,Cafe Dyrehaven,4.0,498.0,"------16,,,",--$$-$$$------,133,"55.6655,12.549554",2703.0,4.0,Café,"Soender Boulevard 72, København 1720 Danmark",4.0,4.0,4.5,$$-$$$,2,-498.0,899
491,Restaurant Meille,4.0,497.0,"------16,,",--$$$$---,92,"55.679,12.568165",1010.0,4.0,Dansk,"Sankt Peders Stræde 24A, København 1453 Danmark",4.0,4.0,,$$$$,3,-497.0,900
484,Aristo,4.0,496.0,------16,--$$-$$$---,189,"55.6693,12.579115",1229.0,4.0,Europæisk,"Islandsbrygge 4, København 2300 Danmark",3.5,4.0,4.5,$$-$$$,2,-496.0,901
502,Højbro Sandwich and Cafe,4.0,495.0,"------16,,,",--$------,127,"55.67827,12.58",324.0,4.0,Café,"Højbro Plads 15, København Danmark",3.5,4.0,,$,1,-495.0,902
503,Bang & Jensen,4.0,493.0,------16369.-664.,--$$-$$$---,129,"55.668102,12.549494",2545.0,4.0,Café,"Istedgade 130, København 1650 Danmark",4.5,4.5,4.5,$$-$$$,2,-493.0,903
490,Victoria Pub,4.0,487.0,------16,--$$-$$$,60,"55.67814,12.572069",787.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Gammeltorv 24, København 1457 Danmark",4.0,4.0,,$$-$$$,2,-487.0,904
483,Bibendum,4.0,485.0,------16127.-302.,--$$-$$$---,120,"55.683727,12.565407",1249.0,3.5,Dansk,"Nansensgade 45, København 1366 Danmark",3.5,3.5,4.0,$$-$$$,2,-485.0,905
453,Fars Dreng,4.0,478.0,------1627.-148.,--$$-$$$------,189,"55.68137,12.583536",160.0,3.5,Café,"Rosengården 12, København 1174 Danmark",4.0,4.0,,$$-$$$,2,-478.0,906
461,Mercante,4.0,477.0,"------16,,",--$$-$$$---------,82,"55.679176,12.576468",492.0,4.5,Europæisk,"Valkendorfsgade 34, København 1151 Danmark",4.0,4.0,,$$-$$$,2,-477.0,907
472,The Bird & The Churchkey,4.0,474.0,"------16,",--$$-$$$,92,"55.677597,12.578121",463.0,4.0,Bar,"Gammel Strand 44, København 1202 Danmark",4.0,4.5,,$$-$$$,2,-474.0,908
465,Thai Asien,4.0,472.0,"------16,",--$---------,81,"55.6785,12.590357",420.0,4.0,Asiatisk,"Cort Adelers Gade 2, København 1053 Danmark",4.5,4.5,3.0,$,1,-472.0,909
463,The Globe Irish Pub,4.0,471.0,"------16,,,",--$$-$$$------,111,"55.681892,12.570893",860.0,4.5,Bar,"Noerregade 42/45, København 1165 Danmark",4.0,4.0,4.5,$$-$$$,2,-471.0,910
475,Comedy ZOO Club & Cafe,4.0,470.0,"------16,,",--$$-$$$---,86,"55.6771,12.575503",632.0,4.5,Dansk,"Kompagnistræde 19, København 1208 Danmark",4.0,4.5,,$$-$$$,2,-470.0,911
452,Library Bar,4.0,469.0,------16,--$$-$$$,97,"55.673748,12.564692",1405.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Bernstorffgade 4, København 1577 Danmark",3.5,3.5,4.5,$$-$$$,2,-469.0,912
455,Munchies Copenhagen,4.0,467.0,------1620.-67.,--$---,67,"55.6718,12.592714",1055.0,4.5,Amerikansk,"Torvegade 55, København 1400 Danmark",4.0,4.0,,$,1,-467.0,913
458,Tivoli Hallen,4.0,465.0,"------16,,",--$$-$$$---,68,"55.674545,12.573094",921.0,4.5,Dansk,"Vester Voldgade 91, 1552 Kobenhavn, København Danmark",4.5,4.5,,$$-$$$,2,-465.0,914
464,Ingolfs Kaffebar,4.0,464.0,------16101.-268.,--$$-$$$------,79,"55.650112,12.612074",3753.0,4.0,Café,"Ingolfs Alle 3, København 2300 Danmark",4.0,4.0,4.5,$$-$$$,2,-464.0,915
468,The Royal Cafe,4.0,463.0,"------16,,,",--$$-$$$---,217,"55.67919,12.579003",337.0,3.5,Café,"Amagertorv 6, København 1611 Danmark",3.5,4.0,4.5,$$-$$$,2,-463.0,916
457,Christianhavns Bådudlejning og Café,4.0,459.0,"------16,,,,",--$$-$$$------,91,"55.67274,12.591215",917.0,4.0,Café,"Overgaden Neden Vandet 29, København Danmark",4.0,4.0,4.0,$$-$$$,2,-459.0,917
466,Ristorante Ponte Vecchio,4.0,452.0,"------16,,",--$$-$$$---------,138,"55.665615,12.575311",1691.0,4.0,Europæisk,"Islands Brygge 33 2300 Kobenhavn S, København Danmark",4.0,4.0,4.0,$$-$$$,2,-452.0,918
445,Restaurant Mes,4.0,448.0,"------16,,",--$$-$$$---,117,"55.67882,12.56606",1144.0,4.0,Dansk,"Jarmers Plads 1, København 1551 Danmark",4.0,4.5,,$$-$$$,2,-448.0,919
441,Alabama Social,4.0,446.0,"------16,",--$$-$$$---------,188,"55.687775,12.5631",1581.0,4.0,Amerikansk,"Sortedam Dossering 3, København 2200 Danmark",3.5,4.0,,$$-$$$,2,-446.0,920
433,lalala,4.0,444.0,------1674.-275.,--$$-$$$------,116,"55.67657,12.59515",785.0,4.0,Europæisk,"Strandgade 98 1401 Kobenhavn K, København 1401 Danmark",4.0,4.0,,$$-$$$,2,-444.0,921
427,Chicky Grill-Bar,4.0,434.0,------1647.-101.,--$---,70,"55.669067,12.558372",2023.0,4.0,Europæisk,"Halmtorvet 21, København Danmark",4.5,4.5,3.5,$,1,-434.0,922
438,Boston Grill Mayfair,4.0,433.0,------16101.-597.,--$$-$$$------,88,"55.67277,12.561554",1630.0,4.5,Amerikansk,"6-8 Colbjørnsensgade 1652 Kobenhavn V, København 1652 Danmark",3.5,4.0,,$$-$$$,2,-433.0,923
446,Teaterkaelderen,4.0,429.0,------16168.-671.,--$$-$$$------,90,"55.67315,12.555283",1965.0,4.5,Dansk,"1610 Koebenhavn V Gammel Kongevej 29, København 1610 Danmark",4.0,4.0,4.5,$$-$$$,2,-429.0,924
434,Hanzo,4.0,426.0,"------16,",--$$-$$$---------,118,"55.67384,12.55015",2241.0,4.0,Asiatisk,"Værnedamsvej 14, København 2200 Danmark",4.0,4.5,4.0,$$-$$$,2,-426.0,925
437,FAMO Metro,4.0,424.0,"------16,",--$$-$$$------,122,"55.695793,12.579769",1780.0,4.0,Europæisk,"Oster Sogade 114, København 2100 Danmark",4.0,4.5,4.0,$$-$$$,2,-424.0,926
422,Grillen Christianshavn,4.0,421.0,"------16,,",--$$-$$$------,100,"55.67167,12.591255",1024.0,4.0,Amerikansk,"Dronningensgade 42, København 1420 Danmark",4.0,4.0,,$$-$$$,2,-421.0,927
408,Halifax Vesterbrogade,4.0,418.0,"------16,,",--$$-$$$------,75,"55.672874,12.551661",2187.0,4.5,Amerikansk,"Vesterbrogade 72, København 1620 Danmark",4.5,4.5,,$$-$$$,2,-418.0,928
401,Bonjour Vietnam,4.0,415.0,------1613.-20.,--$$-$$$------,391,"55.672768,12.555522",1968.0,4.0,Asiatisk,"Vesterbrogade 44, København 1620 Danmark",4.0,4.0,3.5,$$-$$$,2,-415.0,929
392,The Old English Pub,4.0,413.0,"------16,,",--$$-$$$---,173,"55.67562,12.566665",1201.0,4.0,Bar,"Vesterbrogade 2B, 1620, København Danmark",3.5,3.5,4.0,$$-$$$,2,-413.0,930
391,Restaurant M,4.0,412.0,"------16,,",--$$-$$$---,145,"55.683556,12.587222",441.0,4.0,Dansk,"Store Kongensgade 56, København 1264 Danmark",3.5,4.0,3.5,$$-$$$,2,-412.0,931
403,BOB Biomio Organic Bistro,4.0,409.0,------16101.-248.,--$$-$$$---,664,"55.66926,12.558733",1992.0,4.0,Dansk,"Halmtorvet 19 The BOSCH building, København 1700 Danmark",3.5,4.0,4.0,$$-$$$,2,-409.0,932
409,Nobu,4.0,407.0,------161.140.-2.347.,--$$-$$$---------,153,"55.67084,12.561297",1759.0,3.5,Asiatisk,"Halmtorvet 10, København 1700 Danmark",3.5,4.0,4.0,$$-$$$,2,-407.0,933
417,Ravnsborg Vinbar,4.0,406.0,------1687.-148.,--$$-$$$---,73,"55.689247,12.562842",1689.0,4.5,Europæisk,"Ravnsborggade 19, København 2200 Danmark",4.0,4.0,,$$-$$$,2,-406.0,934
399,Brooklyn Bar København,4.0,404.0,"------16,,",--$$-$$$---,223,"55.6799,12.591476",457.0,4.0,Dansk,"Toldbodgade 3, København 1253 Danmark",4.0,4.0,4.0,$$-$$$,2,-404.0,935
379,Nimb Bar’N' Grill,4.0,399.0,"------16,",--$$$$------,153,"55.673332,12.566376",1339.0,4.0,Europæisk,"Bernstorffsgade 5, København 1577 Danmark",3.5,4.0,3.5,$$$$,3,-399.0,936
414,Gemyse,4.0,398.0,"------16,",--$$-$$$------,118,"55.673637,12.56896",1187.0,3.5,Dansk,"Vesterbrogade 3, København 1630 Danmark",3.5,3.5,,$$-$$$,2,-398.0,937
416,20 a,4.0,397.0,"------16,,",--$$-$$$---,85,"55.68937,12.562975",1691.0,4.0,Dansk,"Ravnsborggade 20a, København 2200 Danmark",4.0,4.0,,$$-$$$,2,-397.0,938
394,Dag H,4.0,393.0,------16101.-302.,--$$-$$$------,256,"55.6958,12.580504",1775.0,4.0,Café,"Dag Hammarskjölds Allé, København 2100 Danmark",3.5,4.0,4.0,$$-$$$,2,-393.0,939
410,Restaurant Trio,4.0,389.0,"------16,,,,",--$$$$---------,131,"55.675617,12.565626",1261.0,4.0,Europæisk,"Jernbanegade 11, København 1608 Danmark",4.0,4.0,,$$$$,3,-389.0,940
386,Restaurant Sankt Annae,4.0,388.0,"------16,,",--$$$$---,239,"55.681576,12.591408",486.0,4.0,Dansk,"12 Sankt Annæ Plads, København Danmark",3.5,4.5,4.5,$$$$,3,-388.0,941
381,Falernum,4.0,387.0,------16127.-295.,--$$-$$$---,121,"55.674072,12.549883",2249.0,4.0,Europæisk,"Vaernedamsvej 16, København 1619 Danmark",4.0,4.0,4.5,$$-$$$,2,-387.0,942
412,Haché Gourmet Burgers,4.0,386.0,------1694.-201.,--$$-$$$------,210,"55.68463,12.569734",1043.0,4.0,Amerikansk,"Romersgade 20, København 1362 Danmark",4.0,4.0,3.5,$$-$$$,2,-386.0,943
372,Restaurant Viva,4.0,384.0,------1687.-751.,--$$-$$$---,114,"55.670357,12.580497",1094.0,4.5,Dansk,"Langebrogade 570, København 1411 Danmark",4.0,4.5,4.5,$$-$$$,2,-384.0,944
367,MASH Penthouse,4.0,383.0,"------16,,",--$$$$---------,355,"55.6663,12.565255",1929.0,3.5,Amerikansk,"Arni Magnussons Gade 4 Tivoli Hotel, København 1577 Danmark",3.5,4.0,,$$$$,3,-383.0,945
365,Restaurant Dubrovnik,4.0,380.0,"------16,,",--$$-$$$------,96,"55.678165,12.568126",1027.0,4.0,Europæisk,"Studiestræde 32, København 1455 Danmark",4.0,4.0,4.0,$$-$$$,2,-380.0,946
368,Antons Køkken,4.0,379.0,------16536.-2.005.,--$$-$$$---,173,"55.665886,12.57875",1604.0,4.5,Dansk,"Egilsgade 20 Basement, København 2300 Danmark",4.0,4.5,4.5,$$-$$$,2,-379.0,947
388,Fru Nimb,4.0,378.0,"------16,,",--$$-$$$---,226,"55.673653,12.566953",1289.0,4.0,Dansk,"Bernstorffsgade 5, København 1630 Danmark",4.0,4.0,,$$-$$$,2,-378.0,948
373,Vespa,4.0,377.0,------1634.-1.046.,--$$-$$$------,182,"55.685787,12.588984",713.0,4.0,Italiensk,"Store Kongensgade 90, København 1264 Danmark",4.0,4.0,3.5,$$-$$$,2,-377.0,949
377,Cantina,4.0,376.0,"------16,,,",--$$-$$$---------,240,"55.68244,12.584143",274.0,4.0,Italiensk,"Borgergade 2, København 1300 Danmark",3.5,4.0,,$$-$$$,2,-376.0,950
380,Il Ponte Restaurant,4.0,375.0,------16148.-194.,--$$-$$$---------,187,"55.67656,12.571904",859.0,4.5,Europæisk,"Lavendelstraede 6, København 1462 Danmark",4.0,4.0,4.0,$$-$$$,2,-375.0,951
387,Sticks'n'Sushi,4.0,373.0,------16248.-550.,--$$-$$$---------,111,"55.736664,12.574831",6331.0,4.0,Asiatisk,"Strandvejen 199, København 2900 Danmark",4.0,4.5,4.0,$$-$$$,2,-373.0,952
370,Hereford Steak,4.0,367.0,------1667.-248.,--$$-$$$------,226,"55.682816,12.58647",347.0,3.5,Europæisk,"Store Kongensgade 38, København 1264 Danmark",3.5,3.5,3.5,$$-$$$,2,-367.0,953
374,Rambla,4.0,365.0,------1647.-248.,--$$-$$$---------,235,"55.631634,12.574752",5408.0,4.0,Europæisk,"Arne Jacobsens Allé 9, København 2300 Danmark",3.5,4.0,4.0,$$-$$$,2,-365.0,954
376,Rasoi,4.0,362.0,------1654.-201.,--$$-$$$---------,191,"55.635212,12.582294",4979.0,3.5,Asiatisk,"Ørestads Boulevard 55B, København 2300 Danmark",3.5,4.0,3.5,$$-$$$,2,-362.0,955
382,Nyhavns Faergekro,4.0,361.0,------1674.-228.,--$$-$$$---,1.022,"55.68072,12.588305",271.0,4.0,Dansk,"Nyhavn 5, København 1051 Danmark",3.5,4.0,4.5,$$-$$$,2,-361.0,956
366,Co-ma Bistro,4.0,360.0,------1667.-228.,--$$-$$$------,121,"55.676464,12.564306",1306.0,4.5,Bar,"Axeltorv 8 DK, København 1609 Danmark",4.5,4.5,,$$-$$$,2,-360.0,957
346,The South Indian Frederisberg,4.0,359.0,------1667.-302.,--$$-$$$---------,115,"55.685764,12.536876",3035.0,4.0,Indisk,"Godthåbsvej 12, København 2000 Danmark",4.0,4.5,4.0,$$-$$$,2,-359.0,958
349,La Galette,4.0,357.0,"------16,",--$$-$$$---------,207,"55.67818,12.569036",971.0,3.5,Europæisk,"Larsbjoernsstraede 9, København 1454 Danmark",4.0,4.0,3.5,$$-$$$,2,-357.0,959
358,GURU,4.0,356.0,"------16,,",--$$-$$$------,810,"55.676147,12.566421",1193.0,4.0,Asiatisk,"Jernbanegade 3 København V, København 1608 Danmark",3.5,4.5,4.5,$$-$$$,2,-356.0,960
352,Orangeriet,4.0,355.0,"------16,,",--$$-$$$---,333,"55.684704,12.581986",543.0,3.5,Dansk,"Kronprinsessegade 13, København Danmark",3.5,4.0,4.5,$$-$$$,2,-355.0,961
338,Bankeråt,4.0,354.0,------1620.-188.,--$$-$$$---,123,"55.683426,12.56527",1247.0,4.0,Bar,"Ahlefeldtsgade 27-29, København 1359 Danmark",3.5,4.0,4.5,$$-$$$,2,-354.0,962
333,Ban Gaw,4.0,351.0,"------16,",--$$-$$$---------,198,"55.668987,12.557536",2070.0,4.0,Asiatisk,"Halmtorvet 44, København 1700 Danmark",4.0,4.0,3.5,$$-$$$,2,-351.0,963
332,Restaurant Bar´bette,4.0,349.0,"------16,,,",--$$-$$$---,105,"55.687534,12.593401",1020.0,4.0,Café,"Bredgade 78, København 1260 Danmark",3.5,4.0,,$$-$$$,2,-349.0,964
335,Sachi Sushi,4.0,345.0,"------16,,",--$$-$$$---------,139,"55.6729,12.558299",1804.0,4.0,Asiatisk,"Vesterbrogade 24, København Danmark",4.0,4.0,3.5,$$-$$$,2,-345.0,965
341,Trattoria FIAT,4.0,343.0,------16201.-503.,--$$-$$$---------,1.018,"55.681297,12.585846",180.0,4.0,Delikatesseforretning,"Kongens Nytorv 18 Kbh K, København 1050 Danmark",3.5,4.0,4.0,$$-$$$,2,-343.0,966
339,Sticks'n'Sushi,4.0,342.0,------16248.-550.,--$$-$$$---------,120,"55.676453,12.542033",2672.0,4.5,Asiatisk,"Gammel Kongevej 120, København 1850 Danmark",4.0,4.5,4.0,$$-$$$,2,-342.0,967
351,Cap Horn,4.0,341.0,------16134.-168.,--$$-$$$---,1.486,"55.680363,12.589559",339.0,4.0,Europæisk,"Nyhavn 21, København 1052 Danmark",3.5,4.0,4.5,$$-$$$,2,-341.0,968
331,Tivoli Hotel,4.0,339.0,------16,--$$-$$$------,239,"55.66581,12.565738",1955.0,4.0,Europæisk,"Arni Magnussons Gade 2, København 1577 Danmark",3.5,4.0,3.5,$$-$$$,2,-339.0,969
359,Tony's,4.0,338.0,------16268.-671.,--$$-$$$---------,439,"55.67798,12.591799",526.0,4.0,Europæisk,"Havnegade 47, København 1058 Danmark",4.0,4.0,4.0,$$-$$$,2,-338.0,970
342,Cafe Fremtiden,4.0,335.0,"------16,,",--$$-$$$---,105,"55.68125,12.592433",536.0,4.0,Dansk,"Skt. Annae Plads 22, København 1250 Danmark",4.0,4.5,4.0,$$-$$$,2,-335.0,971
343,Almanak - The Standard,4.0,334.0,"------16,,",--$$-$$$---,799,"55.67765,12.591802",543.0,4.0,Dansk,"Havnegade 44, København 1058 Danmark",3.5,4.0,4.0,$$-$$$,2,-334.0,972
334,Bistro Royal,4.0,333.0,"------16,",--$$-$$$------,563,"55.681316,12.585493",170.0,3.5,Dansk,"Kongens Nytorv 26, København 1050 Danmark",3.5,4.0,3.5,$$-$$$,2,-333.0,973
311,NyhavnsKroen,4.0,332.0,------1660.-228.,--$$-$$$---,293,"55.67981,12.591238",442.0,4.0,Dansk,"Nyhavn 47 1051, København 1051 Danmark",3.5,4.0,4.0,$$-$$$,2,-332.0,974
303,Restaurant Grøften,4.0,331.0,"------16,,",--$$-$$$---,977,"55.67436,12.566679",1263.0,4.5,Dansk,"Vesterbrogade 3 Tivoli, København 1620 Danmark",3.5,4.0,4.5,$$-$$$,2,-331.0,975
302,Vesterbros Originale Burgerrestaurant,4.0,329.0,"------16,,",--$$-$$$------,203,"55.670677,12.558324",1923.0,4.0,Amerikansk,"Istedgade 36, København 1650 Danmark",4.0,4.0,3.5,$$-$$$,2,-329.0,976
300,Gorm's Magstræde,4.0,328.0,------16335.-2.012.,--$$-$$$---------,246,"55.676304,12.575182",697.0,4.0,Europæisk,"Magstræde 16, København 1204 Danmark",4.0,4.0,4.5,$$-$$$,2,-328.0,977
304,Restaurant Silo,4.0,327.0,"------16,,",--$$-$$$---,163,"55.708157,12.597942",3250.0,4.0,Dansk,"Helsinkigade 29, København 2150 Danmark",4.0,4.0,,$$-$$$,2,-327.0,978
328,Scarpetta,4.0,325.0,------16396.-972.,--$$-$$$------,176,"55.657326,12.56676",2746.0,4.0,Italiensk,"Islands Brygge 81F, København Danmark",4.0,4.5,4.0,$$-$$$,2,-325.0,979
327,Skagen Fiskerestaurant Illum Rooftop,4.0,321.0,------1687.-476.,--$$-$$$------,200,"55.679367,12.579806",283.0,4.0,Europæisk,"Oestergade 52 4. Sal, København 1001 Danmark",4.0,4.5,,$$-$$$,2,-321.0,980
