,Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere,New Price class,Price Class Numeric,Reverse ranking on list,Full ranking
1959,Elefanten,3.0,1959.0,,--$$$$$$,7,"55.66558,12.534884",3482.0,3.0,,"Pasteursvej 20 1799 Copenhagen V, København Danmark",3.0,3.5,3.0,$$$$$$,99,-1959.0,42
1972,Restaurant Little Italy,3.0,1958.0,------16121.-148.,--$$-$$$------,38,"55.70115,12.5954",2457.0,3.5,Italiensk,"Dampfaergevej 30 DFDS, København 2100 Danmark",3.0,2.5,,$$-$$$,2,-1958.0,43
1945,Smorhullet,3.0,1957.0,"------16,,",------,8,"55.66431,12.60197",2068.0,,Grill,"Holmbladsgade, København Danmark",,,,$$$$$$,99,-1957.0,44
1943,Gorm bakery,3.0,1953.0,------16,--$$$$$$,10,"55.68503,12.58814",614.0,4.0,,"Store Kongensgade 71, København 1264 Danmark",4.5,,,$$$$$$,99,-1953.0,45
1944,Brod Vaerten,3.0,1950.0,,--$$$$$$,2,"55.6855,12.55197",2111.0,,,"Griffenfeldsgade 56, København 2200 Danmark",,,,$$$$$$,99,-1950.0,46
1982,Guldgrillen,3.0,1948.0,,--$,29,"55.682705,12.563938",1305.0,2.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a></div>","Nansensgade 35, København Danmark",2.5,2.5,,$,1,-1948.0,47
1936,The Harbour Grill,3.0,1947.0,------16,--$$-$$$,19,"55.689606,12.599704",1446.0,3.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Nordre Toldbod 18/24, København 1259 Danmark",,,,$$-$$$,2,-1947.0,48
1922,Lou Lou,3.0,1946.0,------16,--$$-$$$,24,"55.681686,12.582208",227.0,3.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Hovedvagtsgade 8, København 1103 Danmark",2.5,3.0,,$$-$$$,2,-1946.0,49
1923,Gelato Italiano,3.0,1944.0,------16,---,8,"55.67841,12.573333",703.0,,Italiensk,"Nygade 4, København 1164 Danmark",,,,$$$$$$,99,-1944.0,50
1931,Grab ’n' Go Burgers,3.0,1938.0,------16235.-597.,--$$-$$$---,8,"55.69375,12.608222",2148.0,,Amerikansk,"Refshalevej 167 Reffen Copenhagen Street Food, København 1432 Danmark",,,,$$-$$$,2,-1938.0,51
1924,Spicy Lounge,3.0,1937.0,,--$$$$$$,5,"55.71229,12.57723",3619.0,,,"Oesterbrogade 129, København 2100 Danmark",,,,$$$$$$,99,-1937.0,52
1932,wokAmok,3.0,1936.0,------16,---,7,"55.69582,12.55023",2763.0,,Thai,"Jagtvej 101, København 2200 Danmark",,,,$$$$$$,99,-1936.0,53
1938,Café La Vento,3.0,1933.0,------16,---,5,"55.63099,12.57589",5472.0,,International,"Arne Jacobsens Alle 12 Butik 408/ Plan 2, København 2300 Danmark",,,,$$$$$$,99,-1933.0,54
1926,Mama Mia,3.0,1932.0,"------16,",------,9,"55.67502,12.580593",596.0,4.0,International,København Danmark,4.0,4.0,,$$$$$$,99,-1932.0,55
1984,Great China,3.0,1931.0,------16,--$$$$$$,14,"55.6721,12.56296",1593.0,,,"Istedgade 3, København 1652 Danmark",,,,$$$$$$,99,-1931.0,56
1934,Sushiya,3.0,1929.0,------1634.-148.,--$$-$$$------,8,"55.66799,12.57947",1365.0,,Japansk,"Thorshavnsgade 16, København 2300 Danmark",,,,$$-$$$,2,-1929.0,57
1921,Just Thai,3.0,1928.0,------16101.-148.,--$------,82,"55.663437,12.563917",2236.0,3.0,Asiatisk,"Kalvebod Brygge 56, København Danmark",3.5,3.0,2.0,$,1,-1928.0,58
