,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexikansk,Steakhouse
177,Cafe Globetrotter, ,False,False,False,False,False,False,False,False,False
178,Arket, ,False,False,False,False,False,False,False,False,False
179,The Mexican Donkey, 1123 ,False,False,False,False,False,False,False,False,False
180,Cafe Temptation, 2100 ,False,False,False,False,False,False,False,False,False
181,Jabob's Bageri, ,False,False,False,False,False,False,False,False,False
182,Strædets Kaffebar, 1466 ,False,False,False,False,False,False,False,False,False
183,Columbia Chicken & Burger, 2300 ,False,False,False,False,False,False,False,False,False
184,Kuzhi, 1620 ,False,False,False,False,False,False,False,False,False
185,Nordic Noodles, 1799 ,False,False,False,False,False,False,False,False,False
186,Cafe Suhrs, 2100 ,False,False,False,False,False,False,False,False,False
187,Shiimi - A New Taste of Thailand, 2300 ,False,False,False,True,False,False,False,False,False
188,AC Lounge, 2300 ,False,False,False,False,False,False,False,False,False
189,Mecca, 2200 N ,False,False,False,False,False,False,False,False,False
190,Woodhouse Lounge, 1630 ,False,False,False,False,False,False,False,False,False
191,Elefanten, ,False,False,False,False,False,False,False,False,False
192,Restaurant Little Italy, 2100 ,True,False,False,False,False,True,False,False,False
193,Smorhullet, ,True,False,False,False,False,False,True,False,False
194,Gorm bakery, 1264 ,False,False,False,False,False,False,False,False,False
195,Brod Vaerten, 2200 ,False,False,False,False,False,False,False,False,False
196,Guldgrillen, ,False,False,False,False,False,False,False,False,False
197,The Harbour Grill, 1259 ,False,False,False,False,False,False,False,False,False
198,Lou Lou, 1103 ,False,False,False,False,False,False,False,False,False
199,Gelato Italiano, 1164 ,False,False,False,False,False,True,False,False,False
200,Grab ’n' Go Burgers, 1432 ,False,False,False,False,False,False,False,False,False
201,Spicy Lounge, 2100 ,False,False,False,False,False,False,False,False,False
202,wokAmok, 2200 ,False,False,False,True,False,False,False,False,False
203,Café La Vento, 2300 ,False,False,False,False,False,False,False,False,False
204,Mama Mia, ,False,False,False,False,False,True,False,False,False
205,Great China, 1652 ,False,False,False,False,False,False,False,False,False
206,Sushiya, 2300 ,False,True,False,False,False,False,False,False,False
207,Just Thai, ,False,False,False,True,False,False,False,False,False
208,Guldkroen 11, 2200 ,False,False,False,False,False,False,False,False,False
209,Café B, ,False,False,False,False,False,True,False,False,False
210,Amarone, ,True,False,False,False,False,True,False,False,False
211,King Of Kebab Pizza & Grill, 2200 ,False,False,False,False,False,False,False,False,False
212,YamYam, 1570 ,False,False,False,False,False,False,False,False,False
213,Rendez, ,False,False,False,False,False,False,False,False,False
214,Café Le Rouge, 2200 ,False,False,False,False,False,False,False,False,False
215,Mediterranean Kitchen, 2300 ,False,False,False,False,False,False,False,False,False
216,Cucinetta, ,False,False,False,False,False,True,False,False,False
217,Bulko, 1436 ,False,False,False,False,False,False,False,False,False
218,Mät Copenhagen, 1450 ,False,False,False,False,False,False,False,False,False
219,Sunset Boulevard, 1150 ,False,False,False,False,False,False,False,False,False
220,cafe Emil, 2500 ,False,False,False,False,True,False,False,False,False
221,Wabiwabi Sushi & More, 2300 ,False,True,False,False,False,False,False,False,False
222,Vapiano Tivoli, 1630 ,True,False,False,False,False,True,False,False,False
223,Sultan Palace, ,False,False,False,False,False,False,False,False,False
224,Krôyers, ,False,False,False,False,True,False,False,False,False
225,La focaccia, 2450 ,False,False,False,False,False,True,False,False,False
226,Cock's & Cows Prags Blvd, 2300 ,False,False,False,False,False,False,False,False,False
227,Taco Diner, 1364 ,False,False,False,False,False,False,False,False,False
228,Rice and Rice, 2100 ,False,False,False,True,False,False,False,False,False
229,Hanoi, ,False,False,False,False,False,False,False,False,False
230,Café Nöah, 2300 ,False,False,False,False,False,False,False,False,False
231,Tapas G., 1155 ,False,False,False,False,False,False,False,False,False
232,Kyoto Restaurant, ,False,True,False,False,False,False,False,False,False
233,Nibon Ya, 1620 ,False,True,False,False,False,False,False,False,False
234,Cock's & Cows Kødbyen, 1714 ,False,False,False,False,False,False,False,False,False
235,LETZ SUSHI TIVOLI DET JAPANSKE TÅRN, 1630 ,False,True,False,False,False,False,False,False,False
236,L'Olivo, 1051 ,False,False,False,False,False,True,False,False,False
237,Indien Maharaja Restaurant, 2300 ,False,False,False,False,False,False,True,False,False
238,Gaarden & Gaden, 2200 ,False,False,False,False,False,False,False,False,False
239,Café Livingstone, 2100 ,False,False,False,False,True,False,False,False,False
240,Le Diamant, 1100 ,False,False,False,False,False,True,False,False,False
241,Dalle Valle Amager, ,False,False,False,False,False,False,False,False,False
242,Skagen, ,False,False,True,False,False,False,False,False,False
243,Kaffesalonen, ,False,False,False,False,True,False,False,False,False
244,Guldmagerens Cafe, 1051 ,False,False,False,False,False,False,False,False,False
245,Couloir, 2300 ,False,False,False,False,False,False,False,False,False
246,Price's diner, 1630 ,False,False,False,False,False,False,False,False,False
247,Promenaden Tivoli, 1630 ,False,False,False,False,False,False,False,False,False
248,Le President, 1161 ,False,True,False,False,False,False,False,False,False
249,Restaurant Rio Bravo, ,False,False,False,False,False,False,False,False,False
250,Mazzoli's, 1670 ,True,False,False,False,False,True,False,False,False
251,Jensens Bøfhus København (Axeltorv), 1609 ,False,False,False,False,False,False,False,False,True
252,Pause, 2000 ,False,False,False,False,True,True,False,False,False
253,McDonald's, 2000 ,False,False,False,False,False,False,False,False,False
254,Cafe A, 2000 ,False,False,False,False,False,False,False,False,False
255,Happy Sushi, 2000 ,False,False,False,False,False,False,False,False,False
256,Fuji sushi, 2000 ,False,True,False,False,False,False,False,False,False
257,Kellerdirk, 1820 ,False,False,False,False,False,False,False,False,False
258,The Old Irish Pub, 2000 ,False,False,False,False,False,False,False,False,False
259,XO Burgers and Steaks, 1850 ,False,False,False,False,False,False,False,False,True
260,Backstage Bar & Restaurant, 2000 ,False,False,False,False,False,False,False,False,False
261,Joe & The Juice, 1850 ,False,False,False,False,False,False,False,False,False
262,Mr. Rice, 2000 ,False,False,False,True,False,False,False,False,False
263,Akiba Sushi & Wok, 1958 ,False,False,False,False,False,False,False,False,False
264,M.G. Petersens Familiehave, 2000 ,False,False,False,False,False,False,False,False,False
265,Cafe Phenix, 2000 ,False,False,False,False,True,False,False,False,False
266,Restaurant Amalfi, 1154 ,False,False,False,False,False,True,False,False,False
267,Kebaben, 1123 ,True,False,False,False,False,True,False,False,False
268,Express Pizza, 2200 ,True,False,False,False,False,False,False,False,False
269,The Jock, 1699 ,False,False,False,False,False,False,False,False,False
270,Eros, 1157 ,False,False,False,False,False,False,False,False,False
271,Burgerklubben, 2200 ,False,False,False,False,False,False,False,False,False
272,Retreat, 2300 ,False,False,False,False,False,False,False,False,False
273,LETZ SUSHI ØSTERBRO, 2100 ,False,True,False,False,False,False,False,False,False
274,Vietnam, 2100 ,False,False,False,False,False,False,False,False,False
275,King Chicken, ,False,False,False,False,False,False,False,False,False
276,Pizza Dronning Regina, 2720 ,False,False,False,False,False,False,False,False,False
277,Halmtorvet 9, 1700 ,False,False,False,False,False,False,False,False,False
278,Foodish, ,False,False,False,False,False,False,False,False,False
279,Sumo Sushi, 2300 ,False,True,False,False,False,False,False,False,False
280,Brasseriet, 1620 ,False,False,False,False,False,False,False,False,False
281,Beduin Bar, 1159 ,False,False,False,False,False,False,False,False,False
282,El Porron, ,False,False,False,False,False,False,False,False,False
283,Giin Khao, 2300 ,False,False,False,False,False,False,False,False,False
284,Flisen Bar & Burgers, 1705 ,False,False,False,False,False,False,False,False,False
285,Cafe La Bella Ristorante, 2500 ,False,False,False,False,False,True,False,False,False
286,Wedofood, 2100 ,False,False,False,False,False,False,False,False,False
287,Tacos Chucho, 1432 ,False,False,False,False,False,False,False,False,False
288,Osteriet & Ko, 1711 ,False,False,False,False,False,False,False,False,False
289,Sydhavnens Pizzaria, ,True,False,False,False,False,False,False,False,False
290,Gusto Italiano, 2200 ,False,False,False,False,False,True,False,False,False
291,Cafe Maroc, ,False,False,False,False,False,False,False,False,False
292,Cafe casa denmark, ,False,False,False,False,True,False,False,False,False
293,Thaiaway, 2100 ,False,False,False,False,False,False,False,False,False
294,Lagkagehuset, 2300 ,False,False,False,False,False,False,False,False,False
295,Sushi2500, 2000 ,False,False,False,False,False,False,False,False,False
296,Vietnam Quan, 2400 ,False,False,True,False,False,False,False,False,False
297,Lagkagehuset, 2770 ,False,False,False,False,False,False,False,False,False
298,Fuyi, 2700 ,False,False,False,False,False,False,False,False,False
299,Cafe Grusgraven, 1674 ,False,False,False,False,False,False,False,False,False
300,Rosengarden Bodega, 1174 ,False,False,False,False,False,False,False,False,False
301,Intermezzo, 1630 ,False,False,False,False,False,False,False,False,False
302,Bavnehøj Smørrebrød & Sandwich, 2450 ,False,False,False,False,False,False,False,False,False
303,LETZ SUSHI NØRREBRO, 2200 ,False,False,True,False,False,False,False,False,False
304,Karamba, 1307 ,False,False,False,False,False,False,False,False,False
305,Laboca, ,False,False,False,False,False,False,False,False,False
306,MAUI Reykjaviksgade ApS, 2300 ,False,False,False,False,False,False,False,False,False
307,7 Eleven, 2100 ,False,False,False,False,False,False,False,False,False
308,Blomst, 1160 ,False,False,False,False,False,False,False,False,False
309,Pejsegaarden, 2700 ,False,False,False,False,False,False,False,False,False
310,TS Smørrebrød, 2300 ,False,False,False,False,False,False,False,False,False
311,Suyiyaki Japansk Restaurant, ,False,False,False,False,False,False,False,False,False
312,Green & Yellow Restaurant, 1457 ,False,False,False,False,False,False,False,False,False
313,Dragon Grill Express, 2300 ,False,False,False,False,False,False,False,False,False
314,Cheesecake Huset, ,False,False,False,False,False,False,False,False,False
315,Yolkie Egg Joint, 2200 ,False,False,False,False,False,False,False,False,False
316,K15, ,False,False,False,False,False,False,False,False,False
317,Cafe Dubai, 1171 ,False,False,False,False,True,False,False,False,False
318,Figaro, 2100 ,False,False,False,False,False,False,False,False,False
319,Mon Amour Pâtissier - Glacier, 1159 ,False,False,False,False,False,False,False,False,False
320,BarPasta, 2200 ,False,False,False,False,False,True,False,False,False
321,Kinesiske Mur, 2300 ,False,True,False,False,False,False,False,False,False
322,Send flere krydderier, 2200 ,False,False,False,False,False,False,False,False,False
323,The Bagel Co, 1651 ,False,False,False,False,False,False,False,False,False
324,Barburrito, 1123 ,False,False,False,False,False,False,False,False,False
325,Th. Soerensen, 2300 ,False,False,False,False,False,False,False,False,False
326,CPH Burger & Steakhouse, 1441 ,False,False,False,False,False,False,False,False,False
327,Madonna Burgerbar, 3000 ,False,False,False,False,False,False,False,False,False
328,Grand Cafe Field's, 2200 ,False,False,False,False,False,False,False,False,False
329,H Kitchen, 1171 ,False,False,False,False,False,False,False,False,False
330,Louise, ,False,False,False,False,False,False,False,False,False
331,Sunset Boulevard, 6700 ,False,False,False,False,False,False,False,False,False
332,Tacopop, 2100 ,False,False,False,False,False,False,False,False,False
333,Kobenhavns Oktoberfest, 2300 ,False,False,False,False,False,False,False,False,False
334,D'jungle Juice Amager, 2300 ,False,False,False,False,False,False,False,False,False
335,Jagger Købmagerade, 1150 ,False,False,False,False,False,False,False,False,False
336,Restaurant Meadow Garden, 2450 ,False,False,False,False,False,False,False,False,False
337,Il Pane di Mauro, 2300 ,False,False,False,False,False,True,False,False,False
338,Rice and Rice, 2100 ,False,False,False,False,False,False,False,False,False
339,Cafe AE, 2400 ,False,False,False,False,True,False,False,False,False
340,Neru, 2100 ,False,False,False,False,False,False,False,False,False
341,Cafe Tænk, 2100 ,False,False,False,False,False,False,False,False,False
342,1408, 1408 ,False,False,False,False,False,False,False,False,False
343,Egils Deli, 2300 ,True,False,False,False,False,True,False,False,False
344,Dhaba Indian Street Food, 2400 ,False,False,False,False,False,False,False,False,False
345,Café A, 2300 ,False,False,False,False,False,False,False,False,False
346,Mae Pen, 1620 ,False,False,False,True,False,False,False,False,False
347,Front bistro & bar, 1250 ,False,False,False,False,False,False,False,False,False
348,Fu Wa Restaurant, 2200 ,False,False,False,False,False,False,False,False,False
349,Joe & The Juice, 1400 ,False,False,False,False,False,False,False,False,False
350,Motley, 2200 ,False,False,False,False,False,False,False,False,False
351,Islands Brygge 21, 2300 ,False,False,False,False,False,False,False,False,False
352,La Foretta, ,False,False,False,False,False,True,False,False,False
353,Kafe Krone, 1253 ,False,False,False,False,False,False,False,False,False
354,Café Phønix, 1175 ,False,False,False,False,False,False,False,False,False
355,No. 31 - Wine & Food, 1360 ,False,False,False,False,False,True,False,False,False
356,The Pizza Bro, 2300 ,False,False,False,False,False,True,False,False,False
357,Café Kongedybet, 2300 ,False,False,False,False,False,False,False,False,False
358,Restaurant Element, 2450 ,False,False,False,False,False,False,False,False,False
359,Sauvage, 1203 ,False,False,False,False,False,False,False,False,False
360,Chicks by Chicks, ,False,False,False,False,False,False,False,False,False
361,Burgers King, ,False,False,False,False,False,False,False,False,False
362,Café A, ,False,False,False,False,True,False,False,False,False
363,Gastronomia Italiana, ,True,False,False,False,False,True,False,False,False
364,MyPoké Nørrebro, 2200 ,False,False,False,False,False,False,False,False,False
365,Restaurant Sahara, 2200 ,False,False,False,False,False,False,False,False,False
366,Fidel's, 1302 ,False,False,False,False,False,False,False,False,False
367,Restaurant Maharaja - Frederiksberg, 1850 ,False,False,False,False,False,False,True,False,False
368,Dondon, 1364 ,False,False,False,False,False,False,False,False,False
369,Magasasa Vesterbrogade, 1630 ,False,False,False,False,False,False,False,False,False
370,Fedtekaelderen, 1415 K ,False,False,False,False,False,False,False,False,False
371,August B, 1017 ,False,False,False,False,False,False,False,False,False
372,Tigermom, 2200 ,False,False,False,False,False,False,False,False,False
373,SuSu Sushi og Nikkei Restaurant, 2200 ,False,True,False,False,False,False,False,False,False
374,"Burger Shack, Carlsberg Byen", 1799 ,False,False,False,False,False,False,False,False,False
375,Ziang Nan, 1617 ,False,False,False,False,False,False,False,False,False
376,The South Indian Valby, 2500 ,False,False,False,False,False,False,True,False,False
377,Eattoday, 2100 ,False,False,False,False,False,False,False,False,False
378,Polsevognen ved Norrebro Runddel, 2200 ,False,False,False,False,False,False,False,False,False
379,Coffee Industry, 1095 ,False,False,False,False,False,False,False,False,False
380,Cafiola, 1171 ,False,False,False,False,True,False,False,False,False
381,Stefanos Mad og Kaffe, 2100 ,False,False,False,False,False,False,False,False,False
382,The Organic LAB, 1246 ,False,False,False,False,False,False,False,False,False
383,Tex Mex, ,False,False,False,False,False,False,False,False,False
384,Tandoori Masala, 1453 ,False,False,False,False,False,False,True,False,False
385,Lagkagehuset, 2200 ,False,False,False,False,False,False,False,False,False
386,Shabaz Kaffebar & Køkken, 2100 ,False,False,False,False,False,False,False,False,False
387,Iki Sushi Vesterbro, 1620 ,False,True,False,False,False,False,False,False,False
388,Olivaceous, 2720 ,False,False,False,False,False,False,False,False,False
389,Pasha Kebab, 1674 ,False,False,False,False,False,False,False,False,False
390,Bindia, 1850 ,False,False,False,False,False,False,False,False,False
391,TATA - Cocktailbar, 1055 ,False,False,False,False,False,False,False,False,False
392,Calories, 2450 ,False,False,False,False,False,False,False,False,False
393,Rock Bar Royal, 1630 ,False,False,False,False,False,False,False,False,False
394,Riccos Kaffebar, 2100 ,False,False,False,False,False,False,False,False,False
395,Frankies Pizza Nørrebro, 2200 ,False,False,False,False,False,False,False,False,False
396,Juicy Burger, 1609 ,False,False,False,False,False,False,False,False,False
397,Tony's Østerbro, 2100 ,False,False,False,False,False,False,False,False,False
398,Bacino, 1058 ,False,False,False,False,False,True,False,False,False
