God pris,Mad,Restaurant,Service,Stemning,Location,Number of reviews,Price class,Main rating,Ranking on list,Price range,Type of food,Address,Type of food link
45,50,Pizzeria Mamemi &amp; Wine Bar,50,,"55.667767,12.548116",930,--$---------,"5,0",7,NaN,Italiensk,"Mysundegade 28, København 1668 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c31-Copenhagen_Zealand.html"">Pizza</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a></div>"
45,50,Trattoria l’Alba,45,,"55.678543,12.589863",177,--$$-$$$---------,"4,5",27,382,Fisk og skaldyr,"Holbergsgade 17 Ved Nyhavnsbroen, København 1057 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c33-Copenhagen_Zealand.html"">Fisk og skaldyr</a></div>"
45,45,The Red Box,50,45,"55.683018,12.586555",515,--$$-$$$---------,"4,5",21,490,Asiatisk,"Store Kongensgade 42, København 1264 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c17-Copenhagen_Zealand.html"">Fusion</a></div>"
45,50,Kokkeriet,50,,"55.687626,12.585126",770,--$$$$---,"4,5",13,972,Dansk,"Kronprinsessegade 64, København 1306 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Trattoria SUD,50,,"55.684696,12.568494",306,--$$-$$$---------,"4,5",17,999,Europæisk,"Frederiksborggade 27 Close to Nørreport station and Israels Plads, København 1360 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c26-Copenhagen_Zealand.html"">Italiensk</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,50,Zahida at Kellerdirk,50,,"55.67162,12.546196",879,--$$-$$$---------,"5,0",5,249,Indisk,"Frederiksberg Allé 102 We are located inside the historic Kellerdirk Bar and nightlcub, København 1820 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c24-Copenhagen_Zealand.html"">Indisk</a>, <a href=""/Restaurants-g189541-c10748-Copenhagen_Zealand.html"">Pakistansk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,Souls,45,,"55.70349,12.585388",647,--$$-$$$---------,"4,5",31,NaN,Café,"Melchiors Plads 3, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>"
45,45,Höst,45,45,"55.683228,12.566168",2029,--$$$$,"4,5",38,798,Dansk,"Nørre Farimagsgade 41, København 1364 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>"
45,40,Bastard Café,45,,"55.67645,12.574973",242,--$------,"4,5",6,NaN,Café,"Rådhusstræde 13, København 1466 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, Bar, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,Souls Nørreport,50,,"55.685238,12.568355",108,--$$-$$$------,"4,5",56,NaN,Europæisk,"Nørre Farimagsgade 63, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Moderne, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Temporada Tapasbodega,45,45,"55.684452,12.554217",282,--$$-$$$---------,"4,5",43,349,Europæisk,"Åboulevard 23 Frederiksberg, København 2000 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c28-Copenhagen_Zealand.html"">Middelhavsområdet</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-c36-Copenhagen_Zealand.html"">Spansk</a></div>"
45,45,Restaurant Radio,45,45,"55.682026,12.554082",846,--$$$$---,"4,5",46,NaN,Dansk,"Julius Thomsens Gade 12, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,45,Chao Viet Kitchen,40,,"55.677105,12.571456",362,--$---------,"4,5",44,107,Asiatisk,"Kattesundet 8 Indre By, København 1458 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c41-Copenhagen_Zealand.html"">Vietnamesisk</a>, <a href=""/Restaurants-g189541-c10679-Copenhagen_Zealand.html"">Sund</a></div>"
45,45,Restaurant Tight,45,45,"55.678165,12.576488",2868,--$$-$$$---------,"4,5",52,255,Europæisk,"Hyskenstræde 10, København 1207 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>"
40,45,Noma,50,45,"55.67787,12.596145",1642,--$$$$------,"4,5",36,NaN,Moderne,"Refshalevej 96, København 1432 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Moderne, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>"
45,45,Restaurant Cofoco,45,45,"55.671722,12.55859",1066,--$$-$$$,"4,5",32,1.073,Dansk,"Abel Cathrines Gade 7, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Skandinavisk, Dansk, Moderne</div>"
45,45,Sporvejen,45,45,"55.679707,12.575636",978,--$---,"4,5",47,101,Dansk,"Graabroedretorv 17, København 1154 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Grill, Dansk</div>"
40,45,Restaurant Schoennemann,45,45,"55.682747,12.575774",730,--$$-$$$---,"4,5",50,NaN,Dansk,"Hauser Plads 16, København 1127 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,45,Kong Hans Kaelder,45,45,"55.67888,12.584211",286,--$$$$------,"4,5",33,NaN,Europæisk,"Vingaardstraede 6, København 1070 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>"
45,45,Hey Darling,45,,"55.69105,12.576097",85,--$$-$$$------,"5,0",54,302,Amerikansk,"Øster Farimagsgade 24, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Dansk</div>"
40,45,Mad &amp; Kaffe,40,,"55.665863,12.550308",528,--$$-$$$------,"4,5",55,NaN,Café,"Sønder Boulevard 68 København V, København 1720 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk</div>"
45,45,Restaurant Amalie,45,45,"55.68273,12.592147",415,--$$-$$$---,"4,5",51,141,Dansk,"Amaliegade 11, København 1256 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Khun Juk Oriental,45,45,"55.68213,12.58526",810,--$$-$$$---------,"4,5",60,235,Asiatisk,"Store Kongensgade 9 Backyard, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c39-Copenhagen_Zealand.html"">Thai</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,KöD København,45,50,"55.677498,12.582363",1010,--$$-$$$---------,"4,5",62,NaN,Amerikansk,"Admiralgade 25, København 1066 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c2-Copenhagen_Zealand.html"">Amerikansk</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a></div>"
45,45,KöD Vesterbro,45,,"55.6728,12.558157",769,--$$-$$$---------,"4,5",48,449,Europæisk,"Vesterbrogade 33, København 1620 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c37-Copenhagen_Zealand.html"">Steakhouse</a>, <a href=""/Restaurants-g189541-c6-Copenhagen_Zealand.html"">Grillmad</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Restaurant Under Uret - Frokost,50,45,"55.689465,12.575",166,--$$-$$$---,"4,5",41,NaN,Dansk,"Øster Farimagsgade 4, København 2100 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,45,BENTO Restaurant &amp; Cocktail Bar,50,45,"55.67139,12.561472",287,--$$-$$$---------,"4,5",57,349,Asiatisk,"Helgolandsgade 16, København 1653 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c27-Copenhagen_Zealand.html"">Japansk</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
45,45,Frenchy,50,50,"55.677998,12.576669",190,--$$-$$$---------,"4,5",45,NaN,Café,"Hyskenstraede 16 Store Kongensgade 69, København 1207 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c20-Copenhagen_Zealand.html"">Fransk</a>, <a href=""/Restaurants-g189541-c8-Copenhagen_Zealand.html"">Café</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a></div>"
45,45,Sankt Annae 8,45,45,"55.673985,12.591411",204,--$$-$$$---,"4,5",42,NaN,Dansk,"Wildersgade 52, København Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Vinstue, Dansk</div>"
45,50,Restaurant Nepali Bhancha,45,,"55.70341,12.547717",223,--$$-$$$------,"4,5",40,248,Nepalesisk,"H C Ørsteds Vej 50 D, København 1879 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Nepalesisk, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>"
45,45,Madglad,40,,"55.670685,12.555624",169,--$---,"4,5",34,47,Dansk,"Eskildsgade 13, København 1657 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
45,45,Morgenstedet,40,45,"55.673927,12.603153",244,--$---------,"4,5",49,101,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>","Fabriksomraadet 134, København 1440 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a>, <a href=""/Restaurants-g189541-zfz10992-Copenhagen_Zealand.html"">Glutenfri retter</a></div>"
40,45,Kadeau,45,45,"55.672188,12.588876",296,--$$$$---,"4,5",53,952,Dansk,"Wildersgade 10B Christianhavn, København 1408 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c18-Copenhagen_Zealand.html"">Europæisk</a>, Skandinavisk, Dansk</div>"
40,45,Vaekst,45,,"55.6788,12.566957",550,--$$$$,"4,5",38,NaN,Dansk,"Sankt Peders Stræde 34, København 1453 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, Skandinavisk, Dansk, Moderne</div>"
45,45,Kiin Kiin,45,45,"55.6919,12.557358",801,--$$$$---------,"4,5",58,1.153,Asiatisk,"Guldbergsgade 21, København 2200 Danmark","<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=8"">$$$$</a>, <a href=""/Restaurants-g189541-c3-Copenhagen_Zealand.html"">Asiatisk</a>, <a href=""/Restaurants-g189541-c39-Copenhagen_Zealand.html"">Thai</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a></div>"
