Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere
Det Argentinske Vinhus Vinos Los Andes,5.0,879.0,,--$$-$$$,11 anmeldelser,"55.6665,12.59815",1736.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Amagerbrogade 18, København 2300 Danmark",4.5,4.5,
Spicylicious,4.0,883.0,"------16,",--$$-$$$------,74 anmeldelser,"55.67063,12.55841",1922.0,4.0,Asiatisk,"Istedgade 27, København 1650 Danmark",4.0,4.0,4.0
Mokkariet - Istedgade,4.5,902.0,------1620.-87.,--$------,14 anmeldelser,"55.671333,12.560428",1773.0,,Café,"Istedgade 17, København 1650 Danmark",,,
Leonore Christine,3.5,895.0,------1680.-248.,--$$-$$$------,52 anmeldelser,"55.68047,12.588297",263.0,4.5,Dansk,"Nyhavn 9, København 1051 Danmark",3.5,4.0,
Moi,4.5,899.0,------1694.-376.,--$$-$$$---------,20 anmeldelser,"55.672806,12.555656",1959.0,4.5,Asiatisk,"Vesterbrogade 42, København 1620 Danmark",3.5,4.0,
Motto Bar & Trattoria,4.5,856.0,------16,---,12 anmeldelser,"55.67211,12.55462",2050.0,4.5,Italiensk,"Vesterbrogade 55A, København 1620 Danmark",4.5,4.5,
Mikkeller Baghaven,4.5,836.0,"------16,,,",--$$-$$$,19 anmeldelser,"55.69347,12.607984",2116.0,4.5,Bar,"Refshalevej 169b, København 1432 Danmark",4.5,4.0,
Hos Trine og Christian,4.0,44.0,------16181.-241.,--$$-$$$---,66 anmeldelser,"55.67902,12.5112",4577.0,4.0,Europæisk,"Peter Bangs Vej 46, Frederiksberg, København 2000 Danmark",4.0,4.0,4.0
Bistro Kivi,3.5,897.0,------1667.-376.,--$$-$$$---------,81 anmeldelser,"55.67267,12.56204",1609.0,4.0,Asiatisk,"Colbjoernsensgade 7, København 1652 Danmark",4.0,4.0,3.5
Gorm's i Tivoli,4.0,875.0,------1667.-101.,--$$-$$$---------,30 anmeldelser,"55.674175,12.565394",1343.0,4.0,Fastfood,"Bernstoffsgade 3, København 1755 Danmark",3.5,3.5,
Kaf,4.5,885.0,------1627.-121.,--$$-$$$---,13 anmeldelser,"55.690758,12.55808",2029.0,,Europæisk,"Birkegade 21, København 2200 Danmark",,,
Wagamama,3.5,45.0,"------16,,",--$$-$$$---------,92 anmeldelser,"55.681393,12.532732",3230.0,3.5,Asiatisk,"Solbjergvej 3, Frederiksberg, København 2000 Danmark",3.0,3.5,2.5
La Vecchia Italia,3.5,889.0,------16872.-1.871.,--$$-$$$---------,137 anmeldelser,"55.672314,12.567762",1337.0,3.5,Italiensk,"Vesterbrogade 3 Tivoli, København 1620 Danmark",3.5,4.0,4.0
Sofiekaelderen Copenhagen,4.0,891.0,"------16,,,,",--$$-$$$,23 anmeldelser,"55.67155,12.58977",1000.0,4.5,Bar,"Overgaden Oven Vandet 32, 1418 Kobenhavn K, 1415 Kobenhavn K, Denmark, København Danmark",4.0,4.5,
Maui,4.5,876.0,------1613.-101.,--$$-$$$---------,18 anmeldelser,"55.688503,12.56211",1678.0,4.5,Fisk og skaldyr,"Ravnsborggade 12D, København 2200 Danmark",4.5,5.0,
Plenum,4.0,877.0,"------16,",--$$-$$$---,20 anmeldelser,"55.690643,12.560682",1892.0,4.5,Europæisk,"Skt. Hans Torv 3, København 2200 Danmark",4.5,4.5,
Tramonto Rooftop Italian Cuisine & bar,4.0,935.0,------16127.-302.,--$$-$$$---,47 anmeldelser,"55.66666,12.532933",3539.0,4.0,Italiensk,"Bryggernes Plads 7 Hotel Ottilia, København 1799 Danmark",4.0,4.5,
Classic Pizza Magasin,4.5,823.0,------1674.-148.,--$$-$$$---,12 anmeldelser,"55.679165,12.584848",99.0,4.5,Pizza,"Kongens Nytorv 13 Magasin, 5th Floor, København 1095 Danmark",4.0,4.0,
Gran Torino Pizza,3.5,882.0,"------16,,",--$$-$$$---------,109 anmeldelser,"55.688107,12.562924",1611.0,3.5,Europæisk,"Gran Torino Sortedam Dossering 7C Baghuset, København 2200 Danmark",3.5,3.5,4.0
Ristorante Fabios Paparazzi,3.5,884.0,"------16,,",--$$-$$$---------,143 anmeldelser,"55.68141,12.583349",168.0,4.0,Europæisk,"Groennegade 33, København 1107 Danmark",3.5,4.0,4.5
Royal cuisine,4.5,878.0,"------16,,,",--$$-$$$---------,21 anmeldelser,"55.70817,12.55786",3543.0,4.5,Asiatisk,"Roennegade 1, København 2100 Danmark",3.5,4.0,
"Magasasa, Dim Sum & Cocktails",3.5,887.0,"------16,",--$$-$$$---------,150 anmeldelser,"55.66719,12.558942",2128.0,3.0,Asiatisk,"Flaesketorvet 54/56 Kodbyen, København 1711 Danmark",3.5,4.0,
Brødrene Grim,5.0,896.0,------1613.-349.,--$$-$$$---,10 anmeldelser,"55.689827,12.555908",2084.0,,Dansk,"Nørrebrogade 56, København 2200 Danmark",,,
California Kitchen,4.5,898.0,------1680.-107.,--$$-$$$---------,17 anmeldelser,"55.310535,12.372546",43189.0,4.0,Amerikansk,"Vesterbrogade 58, København 1620 Danmark",4.5,4.5,
Wok On,3.5,893.0,"------16,",--$---------,62 anmeldelser,"55.67812,12.580182",325.0,4.0,Asiatisk,"Hoejbro Plads 19, København 1200 Danmark",4.0,4.0,
H15,4.5,886.0,"------16,",,12 anmeldelser,"55.669754,12.559823",1904.0,4.0,,"Halmtorvet 15, København 1700 Danmark",4.5,4.5,
The Laundromat Cafe,4.0,890.0,"------16,,,",--$$-$$$---------,53 anmeldelser,"55.67547,12.545949",2449.0,3.5,Café,"Gammel Kongevej 96 Gammel Kongevej and Tårnborgvej, København 1850 Danmark",3.5,4.0,
Kind of Blue,4.0,894.0,------16,--$$-$$$,25 anmeldelser,"55.689167,12.562719",1690.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Ravnsborggade 17, København 2200 Danmark",4.0,,
Taste of Thai,4.0,892.0,"------16,",--$---------,39 anmeldelser,"55.6839,12.58556",445.0,3.5,Asiatisk,"Borgergade 18, København 1300 Danmark",4.0,4.0,
Mahalle Cph,4.0,904.0,"------16,,",--$---------,40 anmeldelser,"55.690277,12.558268",1988.0,3.5,Libanesisk,"Birkegade 6, København 2200 Danmark",4.0,4.5,
Sushi Factory,4.5,47.0,------16,--$$-$$$,14 anmeldelser,"55.688744,12.524323",3877.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Godthåbsvej 96, Frederiksberg, København 2000 Danmark",4.5,4.5,
Durum Bar Nørrebro,4.5,927.0,------16,---,11 anmeldelser,"55.697247,12.544249",3155.0,,Tyrkisk,"Nørrebrogade 195, København 2200 Danmark",,,
Apartment 38,4.5,48.0,------1613.-80.,--$---,11 anmeldelser,"55.68002,12.54872",2224.0,,Dansk,"H.C. Ørstedsvej 38, Frederiksberg, København 1879 Danmark",,,
Genki sushi,4.0,54.0,------16101.-201.,--$$-$$$---------,29 anmeldelser,"55.67904,12.53022",3385.0,4.0,Asiatisk,"Smallegade 20, Frederiksberg, København 2000 Danmark",3.5,4.0,3.5
Cafe Christianshavn,4.5,925.0,------1687.-161.,--$$-$$$------,10 anmeldelser,"55.674057,12.591391",798.0,,Café,"Skt. Annae Gade 5, København 1416 Danmark",,,
Indian Swaad,4.5,880.0,"------16,,",--$$-$$$------,25 anmeldelser,"55.682335,12.572467",780.0,,Asiatisk,"Rosengården 14, København 1174 Danmark",,,
Hereford Village,3.5,928.0,"------16,,",--$$-$$$------,252 anmeldelser,"55.67706,12.570591",912.0,3.5,Europæisk,"Frederiksberggade 21/1, København 1459 Danmark",3.5,3.5,3.5
Lundgren V.I.P. Frederiksberg,4.0,49.0,------1654.-349.,--$$-$$$---------,27 anmeldelser,"55.684254,12.52514",3732.0,3.5,Asiatisk,"Nordre Fasanvej 52, Frederiksberg, København 2000 Danmark",3.5,3.5,
Tino’s Pizzeria,4.0,917.0,------1654.-107.,--$---------,31 anmeldelser,"55.67378,12.59171",835.0,3.0,Europæisk,"Skt Annæ Gade 9, København Danmark",4.0,4.5,2.0
Souvlaki Stories,4.5,918.0,------1647.-127.,--$$-$$$---------,24 anmeldelser,"55.689793,12.573182",1291.0,,Fastfood,"Sølvgade 91 kld. th. Kld, th, København 1307 Danmark",,,
nihao YAO,5.0,905.0,"------16,,",--$---------,10 anmeldelser,"55.68742,12.547214",2461.0,,Asiatisk,"Rantzausgade 52, København 2000 Danmark",,,
EggSperience,4.5,914.0,------1640.-148.,--$$-$$$---------,12 anmeldelser,"55.671642,12.546494",2539.0,,Fastfood,"Vesterbrogade 97 WestMarket - Streetfood, København 1640 Danmark",,,
Chai Wong,3.5,46.0,"------16,",--$$-$$$------,106 anmeldelser,"55.68033,12.548482",2239.0,3.5,Asiatisk,"Thorvaldsensvej 2, Frederiksberg, København 1871 Danmark",3.5,3.5,4.0
Bistro Panpan,4.0,51.0,------16972.-3.688.,--$$$$---,28 anmeldelser,"55.67375,12.521137",4013.0,3.5,Asiatisk,"Roskildevej 32 Inside The Copenhagen Zoo, Frederiksberg, København 2000 Danmark",3.5,3.5,
Mirabelle,3.5,901.0,------16570.-1.844.,--$$-$$$---------,183 anmeldelser,"55.692387,12.556382",2223.0,3.5,Europæisk,"Guldbergsgade 29, København 2200 Danmark",3.5,4.0,
Restaurant Paustian,4.0,926.0,"------16,,",--$$$$---,83 anmeldelser,"55.71297,12.590826",3692.0,4.5,Dansk,"Kalkbrænderilobskaj 2 2100 CHP Ø, København 2100 Danmark",4.0,4.5,4.5
Cafe Vivaldi - Falkoner Allé,3.5,52.0,------16597.-1.737.,--$$-$$$------,80 anmeldelser,"55.68031,12.533648",3169.0,3.5,Café,"Falkoner Alle 13, Frederiksberg, København 2000 Danmark",3.5,3.5,
Restaurant Fyrtøjet,3.5,903.0,"------16,,",--$$-$$$---,287 anmeldelser,"55.6805,12.588569",281.0,3.5,Dansk,"Nyhavn 11, København 1051 Danmark",3.5,3.5,3.5
Cafe cyprus,3.5,912.0,"------16,,,",--$---------,51 anmeldelser,"55.66273,12.56147",2389.0,4.0,Europæisk,"Kalvebodbrygge 59, København Danmark",4.0,4.0,3.0
Kato Sushi,4.5,53.0,"------16,",--$$-$$$,20 anmeldelser,"55.68112,12.55284",1969.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Rosenørns Allé, Frederiksberg, København 1970 Danmark",5.0,5.0,
Go Sushi,4.5,916.0,------1687.-617.,--$$-$$$------,16 anmeldelser,"55.70793,12.53235",4496.0,,Japansk,"Frederiksborgvej 84, København 2400 Danmark",,,
Pub og Sport,4.0,915.0,------16,--$$-$$$,35 anmeldelser,"55.678253,12.566606",1119.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, Pub</div>","Vester Voldgade 7, København 1552 Danmark",4.0,,
Cafe Hoppes,3.5,909.0,------1687.-228.,--$$-$$$---,224 anmeldelser,"55.67809,12.577993",442.0,3.5,Amerikansk,"Læderstræde 11A, København 1201 Danmark",3.5,3.5,3.5
Mikkeler Barrel Room,5.0,906.0,"------16,",--$,10 anmeldelser,"55.693485,12.607561",2098.0,4.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a></div>","Refshalevej 169B Refshaleoen, København Danmark",4.5,,
Olivers Oase,4.5,50.0,"------16,,",--$$-$$$------,15 anmeldelser,"55.67449,12.533772",3219.0,4.5,Café,"Frederiksberg Allé 69, Frederiksberg, København 1820 Danmark",4.0,4.5,
Hallernes Smørrebrød,4.0,923.0,"------16,,",--$$-$$$------,27 anmeldelser,"55.67915,12.58483",100.0,4.0,Café,"Kongens Nytorv 13, København 1050 Danmark",4.0,4.5,
The Bird & Kissmeyer,4.5,919.0,"------16,,,",--$$-$$$------,15 anmeldelser,"55.673866,12.568507",1195.0,,Bar,"Vesterbrogade 3, København 1603 Danmark",,,
Da Nino e Franco,4.0,922.0,------16101.-134.,--$$-$$$---------,115 anmeldelser,"55.693398,12.56575",1888.0,4.0,Italiensk,"Blegdamsvej 36-38, København Danmark",4.0,4.0,3.5
Restaurant India,4.0,59.0,------16671.-805.,--$$-$$$------,24 anmeldelser,"55.68175,12.53509",3084.0,4.0,Indisk,"Hostrupsvej 2, Frederiksberg, København 1950 Danmark",4.0,4.0,
Stefanos Pizza,4.0,956.0,"------16,",--$------,39 anmeldelser,"55.694958,12.543494",3047.0,3.0,Italiensk,"Stefansgade 33, København 2200 Danmark",3.0,3.5,
Natur Tørst,5.0,943.0,------1634.-127.,--$$-$$$---,9 anmeldelser,"55.70727,12.577453",3064.0,,Dansk,"Amagerbrigade 138 st. th., København 2300 Danmark",,,
Cheung's Grill,5.0,944.0,------16,---,11 anmeldelser,"55.66421,12.59671",1921.0,,Kinesisk,"Hollænderdybet 22, København, 2300, København Danmark",,,
Brasserie Storm,4.0,959.0,"------16,,",--$$-$$$---,48 anmeldelser,"55.62678,12.577417",5930.0,4.0,Dansk,"Ørestads Boulevard 114-118, København 2300 Danmark",3.5,4.0,
Nakorn Thai,3.5,952.0,------16168.-469.,--$$-$$$---------,60 anmeldelser,"55.68619,12.589289",761.0,4.0,Asiatisk,"Store Kongensgade 87, København 1264 Danmark",3.5,3.5,3.0
Omakase,4.0,57.0,"------16,",--$$-$$$------,20 anmeldelser,"55.67039,12.53549",3234.0,4.5,Japansk,"Vesterbrogade 171, Frederiksberg, København 1800 Danmark",4.0,4.5,
Leo’s Pizza,4.0,930.0,------16,--$---,19 anmeldelser,"55.671505,12.544732",2647.0,5.0,Italiensk,"Vesterbrogade 112, København 1620 Danmark",5.0,5.0,
Cafe Ristet Rug,5.0,960.0,------1634.-60.,--$$-$$$------,9 anmeldelser,"55.69344,12.552486",2488.0,,Dansk,"Prinsesse Charlottes Gade 16, København 2200 Danmark",,,
Mudan Restaurant,4.5,56.0,"------16,,",--$$-$$$,13 anmeldelser,"55.685024,12.500991",5246.0,,"<div class=""header_links""><a href=""/Restaurants-g806262-Frederiksberg_Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Dirch Passers Allé 30-32, Frederiksberg, København 2000 Danmark",,,
Lille Bakery,4.5,933.0,"------16,",---,11 anmeldelser,"55.69013,12.612906",2125.0,,Dansk,"Refshalevej 213A, København 1432 Danmark",,,
Bryggeriet Apollo,3.5,947.0,"------16,,",--$$-$$$------,73 anmeldelser,"55.674942,12.565747",1285.0,4.0,Dansk,"Vesterbrogade 3, København 1620 Danmark",3.5,4.0,
Novel Café,4.5,953.0,"------16,,,",--$$-$$$------,19 anmeldelser,"55.69001,12.55509",2138.0,4.5,Café,"Nørrebrogade 59, København Danmark",4.5,4.5,
King Ya Running Sushi & Wok,3.5,948.0,"------16,",--$$-$$$------,58 anmeldelser,"55.65968,12.606294",2649.0,3.5,Asiatisk,"Amagerbrogade 93, København 2300 Danmark",3.5,3.5,3.0
Nagoya,4.0,55.0,------16,--$$-$$$---,23 anmeldelser,"55.675423,12.554342",1939.0,4.0,Japansk,"Vodroffsvej 15, Frederiksberg, København 1900 Danmark",4.0,4.0,
Holms Bager,4.0,949.0,"------16,,,",--$---,19 anmeldelser,"55.671875,12.592145",1030.0,4.5,Café,"Torvegade 50, København Danmark",4.5,4.5,
Gaza Grill,4.5,958.0,------16469.-1.341.,--$---------,20 anmeldelser,"55.690544,12.560717",1883.0,,Mellemøstlig,"Fælledvej 22, København 2200 Danmark",,,
Café Baaden,4.0,934.0,------16369.-972.,--$$-$$$---------,33 anmeldelser,"55.648003,12.648637",5383.0,3.5,Café,"Havkajakvej 16 Nearby the Metro-station Femøren, København 2300 Danmark",3.5,3.5,
just-A-winebar,4.5,940.0,------1667.-188.,--$$-$$$------,22 anmeldelser,"55.707886,12.598808",3236.0,5.0,Bar,"Murmanskgade 9, København 2150 Danmark",4.0,4.5,
Restaurant Flammen København Nyropsgade,3.5,946.0,------16201.-221.,--$$-$$$---,66 anmeldelser,"55.680298,12.561492",1423.0,4.0,Grill,"Nyropsgade 2, København 1602 Danmark",3.5,3.5,
pasta house,4.5,957.0,------16,--$$-$$$---,13 anmeldelser,"55.664486,12.600275",1996.0,,Italiensk,"Amagerbrogade 32 Amagerbrogade 32, 2300 Kobenhavn S, København 2300 Danmark",,,
Restaurant Zafran,4.0,936.0,"------16,",--$$-$$$------,71 anmeldelser,"55.687523,12.559432",1764.0,4.0,Mellemøstlig,"Blagardsgade 9, København Danmark",4.0,4.0,4.0
Værge Caféen,4.0,954.0,"------16,",--$$-$$$---,25 anmeldelser,"55.67558,12.592397",710.0,,Dansk,"Strandgade 50 Christianshavn, København 1401 Danmark",,,
"Vapiano Frederiksborggade, København",3.5,939.0,"------16,",--$$-$$$---------,57 anmeldelser,"55.682976,12.572922",781.0,3.5,Italiensk,"Frederiksborggade 5, København Danmark",2.5,3.0,
Tea:licious Café,5.0,942.0,------1647.-101.,--$---------,17 anmeldelser,"55.678608,12.569654",924.0,4.0,Café,"Studiestraede 21, København 1455 Danmark",4.0,5.0,
Elly's kaffebar,5.0,931.0,"------16,,",--$,14 anmeldelser,"55.69099,12.5396",3052.0,,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a></div>","Stefansgade 73 Kld Ved Borupsplads, København 2200 Danmark",,,
& Rudolph,4.5,951.0,------16604.-1.609.,--$$-$$$---,12 anmeldelser,"55.696827,12.581577",1881.0,,Dansk,"Classensgade 11A, København 2100 Danmark",,,
Djuus Copenhagen,4.5,945.0,------1620.-141.,--$$-$$$---,11 anmeldelser,"55.69558,12.5704",1938.0,,Dansk,"Blegdamsvej 78, København 2100 Danmark",,,
Cock's & Cows Ravnsborggade,3.5,941.0,------1627.-181.,--$$-$$$---,69 anmeldelser,"55.688774,12.562444",1678.0,3.5,Amerikansk,"Ravnsborggade 14 2200 Copenhagen N, København 2200 Danmark",3.5,4.0,
Fresh Sushi,4.0,955.0,"------16,,",--$$-$$$---------,34 anmeldelser,"55.66389,12.61802",2775.0,4.0,Asiatisk,"Bremensgade 77, København 2300 Danmark",4.5,4.5,
Brødflov,4.5,950.0,"------16,,",---,12 anmeldelser,"55.67199,12.592215",1021.0,,Dansk,"Torvegade 50 Christianshavn, København Danmark",,,
Bistro Central,4.0,973.0,------1654.-449.,--$$-$$$------,50 anmeldelser,"55.68168,12.582247",225.0,4.5,Bar,"Ny Oestergade 14, København 1101 Danmark",4.0,4.0,
Maobao,5.0,982.0,------1647.-295.,--$$-$$$------,9 anmeldelser,"55.686928,12.549621",2301.0,,Asiatisk,"Skyttegade 5, København 2200 Danmark",,,
Gorm's Fields,3.5,967.0,------1634.-114.,--$$-$$$---------,180 anmeldelser,"55.6293,12.579278",5643.0,3.5,Europæisk,"Ørestadsboulevard 102B, København 2300 Danmark",3.5,3.5,
Galathea Kroen,4.0,964.0,------16121.-221.,--$$-$$$------,34 anmeldelser,"55.6766,12.57455",712.0,3.5,Indonesisk,"Radhusstraede 9 1466 Copenhagen K, København 1466 Danmark",3.5,3.5,
Cafe Moccador,3.5,58.0,"------16,,",--$$-$$$---,39 anmeldelser,"55.681683,12.534314",3133.0,3.5,Dansk,"Falkoner Alle 23, Frederiksberg, København 2000 Danmark",3.5,3.5,4.0
Meyers Bageri Store Kongensgade,4.0,988.0,,--$,18 anmeldelser,"55.683052,12.586568",373.0,5.0,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=1"">$</a></div>","Store Kongensgade 46, København 1264 Danmark",5.0,5.0,
Hvitfeldt Kaffe,4.5,966.0,------16,--$$-$$$,12 anmeldelser,"55.68209,12.57349",711.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Peder Hvitfeldts Stræde 17 1.sal th., København 1173 Danmark",4.5,,
Herkules Pavillonen,4.5,981.0,,--$$-$$$,10 anmeldelser,"55.68627,12.580382",739.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Georg Brandes Plads 3 Kongens Have, København 1307 Danmark",4.0,4.5,
Louises Fiskebar,4.5,987.0,------1674.-697.,--$$$$---,20 anmeldelser,"55.677296,12.567593",1082.0,4.5,Fisk og skaldyr,"Vester Voldgade 25, København 1552 Danmark",3.5,4.0,
Food club,4.0,969.0,"------16,",--$$-$$$---,19 anmeldelser,"55.68825,12.562815",1625.0,3.0,Dansk,"Sortedamsdossering 7c I gården, København Danmark",3.5,4.0,
Lanes and Louges,4.0,978.0,------16,--$$-$$$---,29 anmeldelser,"55.6166,12.6081",7205.0,4.0,Europæisk,"Englandsvej 337, 2770 Kastrup, København Danmark",3.5,4.5,
Café René,4.0,979.0,"------16,,,",--$$-$$$---------,52 anmeldelser,"55.676224,12.56407",1329.0,4.0,Café,"Axeltorv 6, København 1609 Danmark",3.5,3.5,4.0
Nagoya,3.5,963.0,"------16,,,",--$$-$$$---------,61 anmeldelser,"55.68949,12.574297",1226.0,4.0,Fisk og skaldyr,"Soelvgade 84, København 1307 Danmark",4.0,3.5,4.0
Taste of Taiwan Bubble Tea,4.5,985.0,------1634.-47.,--$---------,9 anmeldelser,"55.689034,12.558084",1922.0,,Café,"Nørrebrogade 38, København 2200 Danmark",,,
Restaurant G,3.5,986.0,------16,--$$-$$$,50 anmeldelser,"55.666504,12.53936",3185.0,3.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Ny Carlsberg Vej 38 Hjørnet af Vesterfælledvej og Ny Carlsberg Vej, København 1760 Danmark",3.5,4.0,
"El Patrón, Tacos By Armando",4.5,989.0,------1640.-188.,--$---------,14 anmeldelser,"55.67166,12.5466",2532.0,,Latinamerikansk,"Vesterbrogade 97, København 1620 Danmark",,,
Hyggestund,4.0,971.0,"------16,,",--$$-$$$------,36 anmeldelser,"55.67225,12.5575",1881.0,3.5,Café,"Viktoriagade 6, København 1655 Danmark",3.5,4.0,
Osterbros Originale Burgerrestaurant,3.5,975.0,"------16,",--$$-$$$---,102 anmeldelser,"55.699448,12.577938",2200.0,3.0,Amerikansk,"Osterbrogade 74, København 1650 Danmark",3.0,3.5,
Fish 'n' chips tivoli,3.5,992.0,"------16,",--$------,69 anmeldelser,"55.672985,12.570514",1157.0,3.5,Fastfood,"Tivoli, København Danmark",3.0,3.0,3.0
Sushi Saiko,4.0,965.0,------16101.-201.,--$$-$$$---------,60 anmeldelser,"55.674126,12.591203",785.0,3.5,Asiatisk,"Sankt Annæ gade 3 b Christianshavn, København 1400 Danmark",3.5,4.0,3.5
Coffee Fellaz,5.0,968.0,------16,---,8 anmeldelser,"55.671295,12.544949",2643.0,,Café,"Vesterbrogade 107 B, København Danmark",,,
Spisehuset rub og stub,4.0,970.0,------16,--$$-$$$---,36 anmeldelser,"55.6772,12.57407",706.0,4.0,Europæisk,"Radhusstraede 13, 1 Th, København Danmark",4.0,3.5,4.0
Storehouse,4.5,990.0,------16201.-349.,--$$$$------,12 anmeldelser,"55.698082,12.593874",2103.0,,Café,"Amerika Plads 7, København 2100 Danmark",,,
DAC& CAFE,4.5,980.0,"------16,,,,",--$$-$$$------,9 anmeldelser,"55.67624,12.590883",591.0,,Café,"Bryghusgade 10, København 1473 Danmark",,,
Bojesen,4.5,974.0,"------16,",--$$-$$$,15 anmeldelser,"55.676315,12.580501",468.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a></div>","Tower of Christiansborg Palace, København Danmark",4.0,4.5,
Dalle Valle Fields,3.5,991.0,"------16,",--$$-$$$------,95 anmeldelser,"55.62979,12.578644",5591.0,3.5,Dansk,"Ørestads Blvd 90, København 2300 Danmark",4.0,4.0,
Kanton 27,4.5,60.0,"------16,",---,11 anmeldelser,"55.681202,12.53187",3283.0,4.5,Europæisk,"Solbjergvej 8, Frederiksberg, København 2000 Danmark",4.5,4.5,
Nyhavn 17,3.5,972.0,------16101.-349.,--$$-$$$---,746 anmeldelser,"55.68054,12.589125",316.0,3.5,Bar,"Nyhavn 17, København 1051 Danmark",3.0,3.5,4.0
Pizzeria 54,4.0,961.0,------16,--$$-$$$---,18 anmeldelser,"55.666615,12.551991",2507.0,,Italiensk,"Sønder Boulevard 54 Vesterbro, København Danmark",,,
Liberty Burgers & Grill,3.5,983.0,"------16,",--$$-$$$---,111 anmeldelser,"55.66238,12.563169",2359.0,3.5,Amerikansk,"Kalvebod Brygge 59, 2. Sal Fisketorvet Copenhagen Mall, København 1560 Danmark",3.5,3.5,
Le Basilic,3.5,997.0,------16235.-671.,--$$-$$$------,183 anmeldelser,"55.67187,12.556146",1976.0,3.0,Europæisk,"Gasvaerksvej 5, København 1656 Danmark",3.5,4.0,4.0
1+1 Street Kitchen,4.5,1016.0,------16,--$---,12 anmeldelser,"55.67117,12.54615",2578.0,4.5,Kinesisk,"Enghavevej 5, København 1674 Danmark",5.0,5.0,
Ristorante Zio & Nonna,5.0,1001.0,------1647.-94.,--$$-$$$---------,15 anmeldelser,"55.69619,12.591099",1854.0,,Fisk og skaldyr,"Oestbanegade 23, København 2100 Danmark",,,
Desserthuset,4.5,1023.0,------16,---,8 anmeldelser,"55.68583,12.56649",1286.0,,Café,"Frederiksborggade 50, København 1360 Danmark",,,
Gourmet street food n' soup,4.0,996.0,"------16,",--$---,23 anmeldelser,"55.68154,12.5835",179.0,4.0,Dansk,"Grønnegade 36, st.v, København 1107 Danmark",3.5,3.5,
Jensens Bøfhus København (Axeltorv),3.0,1013.0,"------16,,,",--$$-$$$---------,348 anmeldelser,"55.67616,12.564306",1317.0,3.0,Europæisk,"Axeltorv 6, København 1609 Danmark",3.0,3.0,2.5
Taim Restaurant,4.5,1009.0,"------16,,,",------,9 anmeldelser,"55.689323,12.572272",1280.0,4.5,Dansk,"Chabad Huset Ole Suhrs Gade 10, København 1354 Danmark",4.5,4.5,
Kardemomme,3.5,1012.0,------16134.-168.,--$$-$$$---------,47 anmeldelser,"55.74296,12.58031",7008.0,4.0,Asiatisk,"Maglemosevej 1, København 2900 Danmark",3.5,4.0,3.5
Andre Citroen,4.0,995.0,"------16,",--$$-$$$------,36 anmeldelser,"55.67268,12.55351",2088.0,4.0,Europæisk,"Vesterbrogade 58, København Danmark",4.0,4.0,4.0
Fontana Di Trevi,4.0,1000.0,"------16,,",--$$-$$$---------,25 anmeldelser,"55.67211,12.547778",2445.0,3.5,Italiensk,"Vesterbrogade 87, København 1620 Danmark",4.0,3.5,
Henckell,5.0,62.0,------16,---,8 anmeldelser,"55.67604,12.543734",2574.0,,Café,"Gammel Kongevej 108, Frederiksberg, København 1850 Danmark",,,
L'appetit,4.0,994.0,------16,--$---------,25 anmeldelser,"55.68509,12.56797",1165.0,4.0,Fastfood,"Fredriksborggade 27, København Danmark",4.5,4.0,3.5
Charlie Scotts Bar,4.5,1017.0,"------16,",--$,18 anmeldelser,"55.67871,12.57328",698.0,4.0,Bar,"Skindergade 43, København 1159 Danmark",4.0,3.0,
Cafe Sirius,4.0,1020.0,------16,--$$-$$$---,24 anmeldelser,"55.70515,12.53318",4249.0,,International,"Rentemestervej 13, København 2400 Danmark",,,
Bartof,4.0,61.0,"------16,,",--$$-$$$---,33 anmeldelser,"55.68356,12.524359",3772.0,3.5,Café,"Nordre Fasanvej 46, Frederiksberg, København 2000 Danmark",3.5,3.5,4.5
