Name,Main rating,Ranking on list,Price range,Price class,Number of reviews,Location,Distance from Kgs. Nytorv,Service,Type of food,Address,Good price,Food,Atmosphere
Restaurant Koefoed,4.5,82.0,------16275.-1.106.,--$$$$---,674 anmeldelser,"55.683163,12.585317",361.0,4.5,Dansk,"Landgreven 3, København 1301 Danmark",4.0,4.5,4.5
Stempel - Bar & Kitchen,4.5,64.0,------16235.-4.023.,--$$-$$$---,264 anmeldelser,"55.667545,12.54769",2674.0,4.5,Café,"Enghave Plads 2, København 1670 Danmark",4.5,4.5,
Formel B,4.5,83.0,"------16,,",--$$$$---,608 anmeldelser,"55.67058,12.535531",3225.0,4.5,Dansk,"Vesterbrogade 182, København 1800 Danmark",4.0,4.5,4.0
Pony,4.5,79.0,------16248.-449.,--$$$$---,274 anmeldelser,"55.67022,12.540435",2950.0,4.5,Dansk,"Vesterbrogade 135, København 1620 Danmark",4.0,4.5,4.0
Sticks'n'Sushi,4.5,93.0,------16248.-550.,--$$-$$$---------,434 anmeldelser,"55.684326,12.566069",1235.0,4.0,Asiatisk,"Nansensgade 59, København 1366 Danmark",4.0,4.5,4.0
Restaurant Kronborg,4.5,101.0,------16148.-436.,--$$-$$$---,478 anmeldelser,"55.677628,12.574495",662.0,4.5,Dansk,"Brolæggerstræde 12, København 1211 Danmark",4.0,4.5,4.5
Restaurant U Formel,4.5,116.0,"------16,,",--$$$$---,504 anmeldelser,"55.67674,12.564756",1270.0,4.0,Dansk,"Studiestraede 69, København 1609 Danmark",4.0,4.5,4.0
Christianshavns Færgecafé,4.5,115.0,------1647.-288.,--$$-$$$------,450 anmeldelser,"55.67565,12.592472",708.0,4.5,Europæisk,"Strandgade 50, København 1401 Danmark",4.0,4.5,4.5
Slurp Ramen Joint,4.5,95.0,------16127.-134.,--$$-$$$---------,145 anmeldelser,"55.685116,12.567047",1217.0,4.5,Asiatisk,"Nansensgade 90, København 1366 Danmark",4.5,4.5,
Alchemist,5.0,108.0,------161.898.-2.501.,--$$$$---,68 anmeldelser,"55.693714,12.613528",2391.0,5.0,International,"Refshalevej 173C, København 1432 Danmark",4.5,5.0,
District Tonkin - Bánh Mí,4.5,113.0,------1660.-121.,--$---------,212 anmeldelser,"55.683544,12.587593",450.0,4.0,Asiatisk,"Dronningens Tvaergade 12, København 1302 Danmark",4.5,4.5,
Restaurant Kanalen,4.0,122.0,"------16,,",--$$$$---,415 anmeldelser,"55.67551,12.593101",748.0,4.0,Dansk,"Wilders Plads 2, København 1403 Danmark",4.0,4.5,4.5
Sidecar,4.5,107.0,------1674.-295.,--$$-$$$------,132 anmeldelser,"55.687107,12.549084",2339.0,4.5,Asiatisk,"Skyttegade 5, København 2200 Danmark",4.5,4.5,
56°,4.5,120.0,------1654.-248.,--$$$$------,208 anmeldelser,"55.684166,12.610067",1688.0,4.5,Dansk,"Krudtløbsvej 8, København 1439 Danmark",4.5,4.5,5.0
Amass,4.5,92.0,------164.660.-6.672.,--$$$$,599 anmeldelser,"55.690468,12.61124",2058.0,4.5,Dansk,"Refshalevej 153, København 1432 Danmark",4.5,4.5,4.5
Ristorante Da Claudio,4.5,6.0,"------16,,",--$$-$$$---------,259 anmeldelser,"55.686863,12.532243",3345.0,4.5,Europæisk,"Godthaabsvej 42, Frederiksberg, København 2000 Danmark",4.5,4.5,4.5
El Meson,4.5,98.0,------1680.-382.,--$$-$$$---------,267 anmeldelser,"55.68259,12.575669",608.0,4.5,Europæisk,"Hauser Plads 12, København 1127 Danmark",4.0,4.5,
Punk Royale,5.0,85.0,------16101.-992.,--$$$$---,82 anmeldelser,"55.68354,12.587821",457.0,4.5,Europæisk,"Dronningens Tværgade 10, København 1302 Danmark",5.0,5.0,
Villa Vino,4.5,109.0,------16,--$$-$$$,160 anmeldelser,"55.676495,12.571272",898.0,4.5,Vinstue,"Mikkel Bryggers Gade 11, København 1460 Danmark",4.5,4.5,4.5
Reinwald's,4.5,5.0,------1667.-248.,--$$-$$$------,175 anmeldelser,"55.67887,12.547882",2280.0,4.5,Dansk,"H.C. Ørsteds Vej 28, Frederiksberg, København 1879 Danmark",4.5,4.5,4.5
Restaurant Karla,4.5,100.0,------1667.-308.,--$$-$$$---,946 anmeldelser,"55.673824,12.573938",939.0,4.5,Dansk,"Dantes Plads 1, København 1556 Danmark",4.0,4.5,4.5
Mikkeller Bar,4.5,102.0,"------16,,",--$$-$$$,859 anmeldelser,"55.671955,12.557751",1882.0,4.5,Dansk,"Viktoriagade 8 B-C 1655, København 1655 Danmark",4.0,4.0,4.5
Terra Restaurant and Cocktail bar,5.0,99.0,------16114.-3.728.,--$$-$$$------,81 anmeldelser,"55.694664,12.570705",1839.0,5.0,Italiensk,"Ryesgade 65, København 2100 Danmark",4.5,5.0,
Cafe Lindevang,4.5,4.0,"------16,",--$$-$$$,233 anmeldelser,"55.67911,12.512431",4500.0,4.5,Dansk,"Sloejfen 6, Frederiksberg, København 2000 Danmark",4.5,4.5,4.0
Told&Snaps,4.5,118.0,"------16,,",--$$-$$$---,538 anmeldelser,"55.679928,12.591563",462.0,4.5,Dansk,"Toldbodgade 2, København Danmark",4.0,4.5,4.5
La Vita e Bella,4.5,7.0,------16302.-402.,--$$-$$$---------,899 anmeldelser,"55.684685,12.537774",2956.0,4.5,Europæisk,"Falkoner Alle 49, Frederiksberg, København 2000 Danmark",4.5,4.5,4.5
Kompasset,4.5,117.0,------1674.-181.,--$$-$$$---,273 anmeldelser,"55.67934,12.592509",526.0,4.5,Dansk,"Nyhavn 65, København 1051 Danmark",4.0,4.5,
Lolly,5.0,96.0,------1627.-154.,--$$-$$$------,73 anmeldelser,"55.67683,12.574468",703.0,5.0,Asiatisk,"Rådhusstræde 7 Kælderen, København 1466 Danmark",4.5,4.5,
El Viejo Mexico,4.5,119.0,------16168.-402.,--$$-$$$---------,827 anmeldelser,"55.684475,12.587831",550.0,4.5,Amerikansk,"Store Kongensgade 61, København 1264 Danmark",4.0,4.5,4.5
Halifax,4.5,114.0,------16127.-168.,--$$-$$$------,558 anmeldelser,"55.68558,12.5667",1261.0,4.5,Amerikansk,"Frederiksborggade 35, København 1360 Danmark",4.0,4.5,4.0
Le Pave,4.5,94.0,"------16,",--$$-$$$------,264 anmeldelser,"55.679844,12.575675",534.0,4.5,Europæisk,"Graabroedretorv 14, København 1154 Danmark",4.5,4.5,4.0
Flottenheimer,4.5,110.0,"------16,,,",--$$-$$$---,378 anmeldelser,"55.680115,12.575208",563.0,4.0,Café,"Skindergade 20, København 1159 Danmark",4.0,4.0,4.5
Restaurant Tio Marios,4.5,104.0,------1627.-262.,--$$-$$$---------,212 anmeldelser,"55.698338,12.593778",2128.0,4.5,Europæisk,"Amerika Plads 4 Østerbro, København 2100 Danmark",4.5,4.5,4.0
Aamanns Deli & Take Away,4.5,97.0,------1667.-127.,--$$-$$$---,607 anmeldelser,"55.690056,12.574978",1261.0,4.5,Dansk,"Øster Farimagsgade 10, København 2100 Danmark",4.0,4.5,4.0
Reffen,4.5,133.0,"------16,,,,,,,,",--$$-$$$---------,294 anmeldelser,"55.69304,12.612353",2286.0,4.0,Europæisk,"Refshalevej 167 Reffen, København 1432 Danmark",4.0,4.5,
Ved Stranden 10,4.5,135.0,"------16,",--$$-$$$---,162 anmeldelser,"55.677135,12.58137",362.0,4.5,Europæisk,"Ved Stranden 10, København 1061 Danmark",4.0,4.0,4.5
Ristorante Italiano,4.0,124.0,------1680.-215.,--$$-$$$---------,1.084 anmeldelser,"55.67929,12.573746",659.0,4.0,Europæisk,"Fiolstræde 2, København 1171 Danmark",4.0,4.0,4.0
Restaurant Maven,4.5,123.0,------1627.-40.,--$$-$$$---,754 anmeldelser,"55.678467,12.5818",225.0,4.5,Dansk,"Nikolaj Plads 10, København 1067 Danmark",4.0,4.5,4.5
Cafe Halvvejen,4.5,146.0,"------16,,,,",--$,92 anmeldelser,"55.681057,12.573958",653.0,5.0,Bar,"Krystalgade 11, København Danmark",4.5,4.5,5.0
Marchal,4.5,144.0,"------16,,,",--$$$$------,425 anmeldelser,"55.68053,12.584939",77.0,4.5,Europæisk,"Kongens Nytorv 34 Copenhagen K, København 1050 Danmark",4.0,4.5,4.5
Spaghetteria La Perla,4.5,121.0,------1674.-134.,--$$-$$$------,571 anmeldelser,"55.682404,12.577117",519.0,4.5,"<div class=""header_links""><a href=""/Restaurants-g189541-Copenhagen_Zealand.html?pid=6"">$$ - $$$</a>, <a href=""/Restaurants-g189541-zfz10665-Copenhagen_Zealand.html"">Vegetarvenlig</a>, <a href=""/Restaurants-g189541-zfz10697-Copenhagen_Zealand.html"">Veganske retter</a></div>","Landemærket 27, København 1119 Danmark",4.0,4.5,
