,Unnamed: 0,Location,Ranking on list,Price class numeric,Restaurant,Postal code,Pizza,Sushi,Fisk og skaldyr,Thai,Café,Italiensk,Indisk,Mexicansk,Steakhouse,City Area
112,112,"55.68299,12.53623",178.0,99,RicenCurry,2000,0,0,0,0,0,0,1,0,0,frb.
113,113,"55.671944,12.522257",176.0,2,Konnild's,2000,0,0,0,0,0,0,0,0,0,frb.
114,114,"55.669308,12.516987",175.0,2,Venus Pizzeria,2000,1,0,0,0,0,0,1,0,0,frb.
115,115,"55.69221,12.5314",173.0,99,Mama Rosa,2000,1,0,0,0,0,1,0,0,0,frb.
116,116,"55.68288,12.535556",169.0,99,Kageværket,2000,0,0,0,0,1,0,0,0,0,frb.
117,117,"55.68489,12.540609",168.0,99,Spise/Bar15,1958,0,0,0,0,0,0,0,0,0,frb.
118,118,"55.68965,12.55837",2102.0,2,Pasta Mania,2200,0,0,0,0,0,0,0,0,0,kbh n
119,119,"55.679626,12.591565",2080.0,2,La Sirene,1051,1,0,0,0,0,1,0,0,0,kbh k
120,120,"55.67913,12.580498",2071.0,2,Mama Rosa,1100,1,0,0,0,0,1,0,1,0,kbh k
121,121,"55.7028,12.58473",2069.0,99,Kervan,,0,0,0,0,0,0,0,0,0,andet
122,122,"55.675686,12.564812",2067.0,2,Axelborg Chinese Restaurant,A 1609,0,0,0,0,0,0,0,0,0,andet
123,123,"55.679108,12.573862",2062.0,2,Restaurant Nova,1159,0,0,0,0,0,1,0,0,0,kbh k
124,124,"55.65444,12.6104",2061.0,99,Wan Hao,2300,0,0,0,0,0,0,0,0,0,kbh s
125,125,"55.71875,12.55557",2059.0,2,Benvenuti Pizzeria Emdrup,2100,0,0,0,0,0,1,0,1,0,kbh ø
126,126,"55.674957,12.56645",2050.0,2,Maggies,1620,0,0,0,0,0,0,0,0,0,kbh v
127,127,"55.674152,12.569132",2049.0,2,Pirateriet,1630,0,0,0,0,0,0,0,0,0,kbh v
128,128,"55.6948,12.5435",2048.0,99,Stefanos Grønne Hjørne,2200,0,0,0,0,0,0,0,0,0,kbh n
129,129,"55.71769,12.58846",2044.0,2,Cafe Sundet,2100,0,0,0,0,0,0,0,0,0,kbh ø
130,130,"55.688812,12.57833",2039.0,2,Kafeteria,1307,0,0,0,0,1,0,0,0,0,kbh k
131,131,"55.67502,12.580593",2036.0,2,7 Seas Restaurant,,0,0,0,0,0,0,0,0,0,andet
132,132,"55.64994,12.61245",2028.0,99,Cafe Two o Two,2300,0,0,0,0,0,0,0,0,0,kbh s
133,133,"55.6573,12.566887",2027.0,99,Wedo burgers,2300,0,0,0,0,0,0,0,0,0,kbh s
134,134,"55.68158,12.57126",2026.0,2,Restaurant Royal Palace,1165,0,1,0,0,0,0,0,0,0,kbh k
135,135,"55.705288,12.581309",2025.0,2,Cafe Bopa,2100,0,0,0,0,1,0,0,0,0,kbh ø
136,136,"55.65246,12.5505",2024.0,1,Teglværket,2450,0,0,0,0,0,0,0,0,0,kbh sv
137,137,"55.67732,12.566228",2023.0,2,India Palace Restaurant,1553,0,0,0,0,0,0,1,0,0,kbh v
138,138,"55.670948,12.543735",2021.0,2,Cafe Ludwigsen,1751,0,0,0,0,0,0,0,0,0,kbh v
139,139,"55.65571,12.60934",2020.0,99,Hennings Corner,2300,0,0,0,0,0,0,0,0,0,kbh s
140,140,"55.66199,12.63004",2019.0,2,Cafe Phenix,2300,0,0,0,0,0,0,0,0,0,kbh s
141,141,"55.68984,12.56025",2018.0,99,Restaurant Barcelona,,0,0,0,0,0,0,0,0,0,andet
142,142,"55.66971,12.554856",2017.0,2,Senorita Mexicansk Restaurant,1650,0,0,0,0,0,0,0,1,0,kbh v
143,143,"55.70348,12.5873",2016.0,99,Mocca Kaffebar,2100,0,0,0,0,1,0,0,0,0,kbh ø
144,144,"55.66276,12.56203",2014.0,2,Indiana Mexican Restaurant,,0,0,0,0,0,0,1,1,0,andet
145,145,"55.67957,12.58482",2013.0,99,McDonald's Kongens Nytorv,1050,0,0,0,0,0,0,0,0,0,kbh k
